Ouery_Cleaned,Answer
thrips farmer flower drop,Spray Actra 5 gm/15 Lit of Water.SPRAY PLANO FIX 5 ML /15 LITER WATER.
leaf spot leaves, Spray Antracol  2 5 gm/15 Liter of Water(Propineb)-Bayer
whit fly trees,spray pegasuses 25 gram + microlla 30 mili in 15 lit of water
farmer flower drop thrips,SPRAY PLANO FIX 5 ML /15 LITER WATER.Spray Actra 5 gm/15 Lit of Water.
powdery,Spray Antracol  30 gm / 15 Liter of Water(Propineb)-Bayer
leaf eating caterpillar fruit borer,Spray Proclaim 5gm/15lit of Water.
tomato leaf miner,Spray Azadirictine 30 ml/15 Liter of Water.
fungal leaves,spray ridomil gold 25 -30 ml in 15  liter of water.
thrips white fly farmer flower drop,Spray rejent 15 ml/15 liter water.SPRAY PLANO FIX 5 ML /15 LITER WATER.
fungal infection,"spray Ridomil gold 30 gms in 15 liter of water,SPRAY PLANO FIX 5 ML /15 LITER WATER"
boll rot,Spray m-45 30 gm /15 liter water.
catterpilrs,Spray Profex super 30 ml+ REDOMILL GOLD 30 GRAM /15 liter of water(Profenofos+ Cypermethrin)-Nagarjuna
farmer wants know fungal,use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water
white fly blight,spray 00;52;34 60gram +microlla 30ml +M-45 30gram in 15 liter water
asking aphids jassids,Spray Roger 15 ml/15 Liter of Water(Dimethoate)-Cheminova
wilt variety,"Drenching Redomild gold 30 gm +  Humic acid 30 ml in 15 lit of waterVARIETY-CO-86032(NIRA),CO-V S I-8074(MAHALAKSHMI),COM0265,CO.V.S.I.9805"
white fly farmer flower drop,Spray Ullala 8 gm/15 Lit of Water.SPRAY PLANO FIX 5 ML /15 LITER WATER.
white fly aphids,Spray Actra 5 gm /15 Lit of Water.
bud borer,Spray fame 5ml/15 Lit of Water.
wilt pigeon pea,Drenching Redomild gold 30 gm +  Humic acid 30 ml in 15 lit of water
asking mealybug,Spray Regent 30 ml /15 liter water(Fipronil 5 SC)-Bayer
mildew,Spray Bavistine 30gm/15liter of Water(Carbendazim 50%)BASF
catterpilrs red gram,SPRAY MICROLLA 30 ML + BAVISTIN 30 GM + nuvan 30 milli  /15 LITER WATER.
wild,APPLY BLUE COPPER 500 GRAM + MICROLLA 300 MILI + HUMIC ACID 1 LITER IN 200 LITER OF WATER
sucking pest fungal cottton,Spray Actra 5 gm + M-45 30 gm/15 Lit of Water.
sucking peast fungus,Spray Ullala 8 gm +  Natio 06 gm/15 Liter of Water(Tebuconyazol+Trifloxystrobin)-Bayer
aphids thrips jassids wilt,Spray super confidor 04 ml /15 liter of water(Imida 17.8 sl)-Bayer+SPRAY M 45 30 GM /15 LITER WATER(mancozeb)Dow Agro
boll warm, profex super 30 ml in 15 liter of water.
fungus field,drenching of bavistin 30 gm/15 liter water
thrips white fly fungus,Spray Pegasus 12 gm/ 15 lit of water SPRAY REDOMIL GOLD 30 GM /15 LIET WATER.
asking thrips,Spray Polo 15gm /15 Liter of Water(Diafenthiuron)-Syngenta
fungas, redomil gold 30 gm /15 liter water spray
thrps,Spray Confidor super 10 ml  + Redomil Gold 30 gm / Confidor 10ml/15 Lit of Water.
redlining,apply 20 kg urea + 10 kg magnisum sulphate /acre
farmer flower drop thrips white fly, borocall-60 gram /15 liter water Spray rejent 15 ml/15 liter water.
sucking pest fungal diseasein,Spray Actra 5 gm + M-45 30 gm/15 Lit of Water.
attackof sucking pest,Spray Tata manik 7 gm + acephate - 30 gram /15 liter of water(Acetamapride20SP)-Tata Rallis
jassids green leaf hoppers,spray acephate 30 gm + supar confidor 6 ml  15 liter of water 
red ling,APPLY 20 KG UREA + MAGNISUM SULPHATE 10 KG IN /ACRE
aphids thrips jassids leaf eating catterpiller,Spray Pegasus 25 gm/ 15 liter ofwater(Diafenthiuron)Syngenta +Chloropyriphos 30ml + Humic Acid 30ml/15 Liter of Water Drenching.
downey mildew, spray tilt 5 ml in 15 liter of water.
dusky bug,SPRAY NUWAN 20 ML / 15 LITER WATER
bout sucking pest,Spray Tata manik 7 gm + super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
white fly cercospora leaf spot,spray ulala 10 gm +copper oxy chloride 20 gms in 1o liter of water.
read leaf,SPRAY UREA 200 GRAM  + MgSO4 100 GRAM  IN 15 LIT OF WATER
fungus onion,Spray Cypermitterin 7.5 ml + cabriotop 45 gram / 15 liter water .
bliget,use microla 30 ml + regold 30 gram per 15 liter water
asking aphids thrips jassids,Spray - Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
white fly caterpillar, spray record  10 GRAM + Proclaim 5 gm / 15 lit of Water.
fungous,apply microlla 300 mili + blue copper 500 gram + humic acid 1 liter in 200 liter of water /acre through drip
thips,Spray profenophos 30 ml/ 15 liter of water
borer,Spray fame 5ml/15 Lit of Water.
milly bug,Spray malathion  15ml/15 Liter of Water.
thrips aphids,spray lancergold 25gm+bavistin 30gm / 15 lit of water
powdery mildew fungs attak,Spray Bavistine 5 gm + 5 ML PROPICONAZOL + 100 ML MINRAL OIL/15lit of Water.
reddling,apply 20 kg urea + 10 kg magnisum sulphate /acre
thrips jassids reddning,Spray Admire  5 gm/15 Liter of Water(Imida 70 wp)Bayer+ SPRAY MAGNESIUM SULPHATE 60 GM /15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
asking aphids thrips,Spray - Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
asing aphids thrips jassids,Spray - Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
white flay,Spray Tata manik 7 gm/15 liter of water(Acetamapride20SP)-Tata Rallis
cototn thrips,"rejent 30ml+aidmire 5gm+microla 30ml+stikar 10ml,,15 Liter of Water"
thrips phone university,"Spray Actra 5 gm/15 Lit of Water.Mahatma Phule Krishi Vidyapeeth-rahuri,Ahmednagar(02426)243208,243311,243215"
growth thrips yellowing, microla -30 mili / 15 liter water Spray Actra 5 gm/15 Lit of Water.SPRAY MICROLLA 30 ML + BAVISTIN 30 GM /15 LITER WATER.
leaf eatting catterpillar,spray actra 5 gram +  Chloropyriphos 40 ml / 15 lit of water.
thrips fertilizer spray growth,SPRAY ADMIRE 4GM + MICROLLA 30ML / 15 LIT OF WATER
thrips thrips,Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-Bayer
redmite,spray omite 5ml/ 15 lit of water
catterpillrs,Spray Polo 25gm + M-45 -30 GRAM/15 Liter of Water(Diafenthiuron)-Syngenta
reddning sucking pest,SPRAY MAGNESIUM SULPHATE 60 GM +actera 5 gm/15 LITER WATER
white fly chilli,Spray Actra 5 gm  /15 Lit of Water  Spary bavistin 30gm/15 Lit of Water .
yellowing,m 45 30 gm + microlla  30 ml/15 Lit of Water.
wilt attackk,Spray Redomil Gold 30 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
co tton wilt,apply Chloropyriphos 30ml/15 Lit of Water.
sucking peat,spray acephate 30 gm +pride 6 gm / 15 liter of water 
aphids thrips jassids dotton,Spray -  Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
sucking pest cottton,SPRAY ACTRA 5 GM + SAAF 20 GM / 15 LITTER OF WATER 
sucking pest n,spray alika 
succking pest,UPL- ULALA 8 GM /15 LITER WATER SPRAY
thrips white fly redning farmer flowering,Spray rejent 15 ml/15 liter water.Apply MAGNESIUM SULPHATE 10 KG/ACRE.Spray Boom flower 20 ml /15lit of Water.
asking stem borer,Spray Nuvan 15 ml/ 15Lit of Water(Diclorvos 76%)Cheminova
flower fungus,SPRAY MICROLA 30 ML + BAVISTIN 30 GM /15 LITER WATER
soybean caterpillrs,Spray Polo 25gm+M-45 -30 GRAM  /15 Liter of Water(Diafenthiuron)-Syngenta
damping,Chloropyriphos 30ml + Humic Acid 30ml/15 Liter of Water Drenching.
thrips growth fertilizerv spray,Spray Actra 5 gm/15 Lit of Water.
thrips fertilizer dose growth,Spray Actra 5 gm/15 Lit of Water + MICROLA-30 MILI / 15 LITER WATER
suckig pest,spray bio -303  15 mili / 15 liter of water.
sucking pest fungus,Spray Ullala 8 gm + Redomild gold 30 gm/15 Lit of Water.
asking suck ing pest,Spray Regent 30 ml /15 liter of water.
yellowing thrips asking,SPRAY MICROLA 30 ML + BAVISTIN 30 GM /15 LITER WATER.Spray Karate15 ml/15 Lit of Water.This week weather is Partly cloudy and  Possibility of Rainfall.
wilt farmer flower drop,Drenching Redomild gold 30 gm +  Humic acid 30 ml in 15 lit of waterSPRAY PLANO FIX 3 ML /15 LITER WATER.
whitye fly,"polo 20gm + microla 30ml,15 LITER WATER"
bollwarm,Spray Proclaim 5 gm/15 liter of Water(Emamectin Benzoate)Syngenta
angular leaf spot,SPRAY BLUE COPPER 30 GM /15 Liter of Water.
cooton white fly,Spray Ullala 8 gm + M-45  30 GRAM /15 Lit of Water(flonicamid)-UPL
caterpillar aphids soyabean,Decis -100 4 ml/15 liter of water(deltamethrin)-Bayer
spraying dose, SPRAY TRAYZOPHOS 40 MILI+ASEFET 30 GRAM /PAMP WATER USE
caterpillar thrips aphids,Spray Ullala 8 gm+Tata mida10 ml /15 Lit of Water.(flonicamid)-UPL
catterpillar tur,spray proclaim 10 gm / 15 liter of water 
white fly thrips aphids,Spray Ullala 8 gm/15 Lit of Water(flonicamid)-UPL
aphids thrips jassids octton,Spray- Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
ofthrips white fly aphids,spray bio power303   1 mili /liter
thriphs caterpillar,SPRAY TRIAZHOPHOS 30 ML + ASIFET 30 GM /15 liter of water
reddning cottonattack white fly,SPRAY MAGNESIUM SULPHATE 60 GM /15 LITER WATER Spray Actra 5 gm/15 Lit of Water.
thrips redning caterpillar,Spray Actra 5 gm/15 Lit of Water.SPRAY MAGNESIUM SULPHATE 60 GM + DAP 300 GM/15 LITER WATER Spray Chloropyriphos 30ml/15 Lit of Water
caterpillar aphids thrips jassids,Spray fame 5ml/15 Liter of Water(Flubendiamide 480SC)Bayer +Spray super confidor 04 ml /15 liter of water(Imida 17.8 sl)-Bayer
caterpillar flower drop,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta +SPRAY PLANOFIX 4 ML(Bayer)/15 LITER WATER
aphids thrips reddning,Spray Tata mida 07 ml /15 liter water(Imida 17.8 sl)-Tata Rallis +SPRAY MAGNESIUM SULPHATE 60 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
asking baout caterpillar,Spray Rogar 15ml/15 Liter of Water(Dimethoate)-Cheminova
white flys,"rogar 30ml+lancer gold 30gm+stikar 10ml,,15 liter of water"
bollworms,spray misile 7gm / 15 lit of water
white fly redmite,spray oberon5 ml / 15 lit of water
sucking pesat reddning,SPRAY MAGNESIUM SULPHATE 60 GM /15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
willt,DRENCHING Chloropyriphos 30ml+HUMIC ACID 30 MILI/15 Lit of Water.
leaf eatting catterpillaer,Spray Pegasus 25 gm/ 15 lit of water
askede thjrips,Spray Regent 30 ml + M-45 -30 GGRAM /15 liter water(Fipronil 5 SC)-Bayer
leaf eating catterpillar,Spray Profenophos 25 ml/15 liter of water.
lokri mawa,Spray Rogar 15ml/15 Liter of Water(Dimethoate)-Cheminova
funguse,Spray Metador 25 ml + MICROLLA 30 MILI + BLUE COPPER 40 GRAM / 15 lit of water
blight attackk,Spray Kavach  25 gm + KARATE 25 MILLI  /15 Liter of Water(Chlorothalonil)-Syngenta
asksed red bug, spray melathion 1 ml / 1 liter water
reddning thrips jassids,Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-Bayer + SPRAY MAGNESIUM SULPHATE 60 GM /15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
thrips jassidson,Spray Regent 20 ml /15 liter water(Fipronil 5 SC)-Bayer
farmer flower drop farmer flowering thrips,SPRAY PLANO 3 ML /15 LITER WATER.Spray Boom flower 20ml/15lit of Water.Spray rejent 15 ml/15 liter water.
thrips white fly redning,Spray rejent 15 ml/15 liter water.Apply MAGNESIUM SULPHATE 10 KG/ACRE.
aphids thrips jassidsand red mite,Spray Oberon 15ml/15 Liter of Water (benzisothiazolin)Bayer
asking mealybugs,Spray Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
thrips jassids asking,Spray Pegasus 25 gm/ 15 liter of water(Diafenthiuron)SyngentaThis week weather is Partly cloudy and  Possibility of Rainfall.
white kly,Spray Ullala 8 gm/15 Lit of Water(flonicamid)-UPL
caterpillrs,Spray Quinalphos (25 % EC)15 ml Profex super 10 ml/ l5 liter of water
lalay,use magneshium sulphet 50 gram + urea 200 gram per 15 liter water
sucking pest reddning,SPRAY MAGNESIUM SULPHATE 60 GM +bavistin 30 gm / 15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
powdery mildew fungus,Spray Profex Super 30 ml / 15 lit of water.
catter piller, Spray Tracer 30 ml / 15 lit of water
aphids jassid white fly,Spray Pride 10 gm /15 liter of water(Acetamapride 20SP)-Dow agro
catterpills,Spray Quinalphos (20 % AF) 22 ml +-m-45 30 gram /15 liter of water
redning sucking pest cotoon,magnesium sulphate 100 gram / liter water . Spray Actra 5 gm  /15 Lit of Water.
karpa leaf,spray blue copper 40 gram + microlla 30 mili in 15 lit of water
downy blight,Spray Antracol  25 gm/15 Liter of Water(Propineb)-Bayer
aked thrips,Spray Jump 3 gm/15 Liter of Water(Fipronil 80 wg)-Bayer
asingb aphids thrips jassids,Spray - Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
aske aphids thrips jassids,Spray Regent 30 ml /15 liter water(Fipronil 5 SC)-Bayer
farmer thrips, Spray Ullala 10 gm/15 Lit of Water.
wilt redning,Drenching Redomild gold 30 gm / in 15 lit of waterSPRAY MAGNESIUM SULPHATE 60 GM + DAP 300 GM/15 LITER WATER
ofmealy bug,Spray Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
sucking pest blight,Spray super bavistin 30 gm + confidor 10 ml /15 liter of water.
leafcurl,Spray Redomil Gold 30gm + admire 5gm /15 Lit of Water spraying.
caterpiler,Spray Chloropyriphos 30ml/15 Lit of Water.
caterpillerattack,Spray Proclaim10 gm/15 liter of Water(Emamectin Benzoate)Syngenta
caterpillara,spraying of curacron 30 ml / 15 liter water
assked white grub red gram, LACENTA 40 GRAM / DRENCHIMG IN 15 LITER OF WATER.
funggal, SPRAY TO MENCOZEB + CARBENDAZIM 35-40 GRAM/PUMP
blight cotto,Spray Kavach  25 gm + KARATE 25 MILLI /15 Liter of Water(Chlorothalonil)-Syngenta
blight cottn,Spray Karate20ml+ REDOMIL GOLD 30 GRAM /15 Liter of Water(Lambda 5 SC)-Syngenta
thrips onion,Spray profenophos 30 ml/ 15 liter of water
redlling,APPLY 20 KG UREA + 10 KG MAGNISUM SULPHATE/ACRE
red mites soyabean,Spray Oberon 15ml/15 Liter of Water (benzisothiazolin)Bayer
thrips aphid,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-SyngentaSpray Oberon 15 ml/15 Liter of Water(spiromesifen 20.9%)-Bayer
alternaria,Spray SAAF  30 gm/15 Liter of Water(Carbendazim 12%+Mancozeb 63%)-UPL
powdary growth,Spray Antracol  30 gm/15 Liter of Water(Propineb)-Bayer
aboutb sucking pest,Spray Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
thrips jassid thrps,Spray Karate20ml + M-45 30 GRAM /15 Liter of Water(Lambda 5 SC)-Syngenta
suking pest,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
atack thips,Spray Oberon 15 ml +M-45 -30 GRAM + /15 Liter of Water(spiromesifen 20.9%)-Bayer
od sucking pest,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
white fly bollworms,spray misile 7gm + pride 10gm / 15 lit of water
farmer blight,Spray Kavach  25 gm + MICROLLA 30 MILLI + KARATE 30 MILLI /15 Liter of Water(Chlorothalonil)-Syngenta
fertilizer spray growth thrips,spray bio-303(daman)  22.50ml / 15 lit of water
red leaves,spraying of urea + magneshiam salphet
farmer white flies,spray (bio 303) 2 ml/liter
askin g aphids thrips jassids,Spray Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
thrips fertilizer dose growth caterpillar,Spray Actra 5 gm/15 Lit of Water.  microla -30 mili / 15 liter water spray Quinolphos 30 ml in 15 liter wate
white flyin,Spray Tata manik 7 gm/15 liter of water(Acetamapride20SP)-Tata Rallis
thrips attackk,Spray Pegasus 25 gm+ M-45 30 GRAM / 15 liter of water(Diafenthiuron)Syngenta
reddning fungus leaves,SPRAY MAGNESIUM SULPHATE 60 GM /15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
funguses,spray blue copper 40 gram + microlla 30 mili in 15 lit of water
og fungus,drenching of redomil gold 30 gm + 19 19 19 30gm / 15 litre of water
reddening,SPRAY MAGNESIUM SULPHATE 30 GM + DAP 30 GM/15 LITER WATER
fungus flower,Spray Redomil Gold 30 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
whitefly yellowing,Spray Ullala 8 gm/15 Lit of Water.
wilt white fly,Drenching Bavistine 30 gm + Humic Acid 30 ml/15 Lit of Water Spray Pegasus 25 gm/ 15 lit of water
thrips white fly asking stop extra growth,Spray Actra 5 gm/15 Lit of Water.Spray Leocine 7 ml /15 liter of water.
thrips jassids mites,Spray Oberon 15ml/15 Liter of Water (benzisothiazolin)Bayer
abpout white fly thrips, Spray Admire 5 gm + Record  07 gm /15 Liter of Water (Imida 70 wp)-Bayer
catterpillars,Spray Profex super 30 ml+M-45 30 GRAM /15 liter of water+ (Profenofos+ Cypermethrin)-Nagarjuna
sucking pest fungal asking,Spray Actra 5 gm + Ridomil gold 30 gm/15 liter water?This week weather is Partly cloudy and  Possibility of Rainfall.
wilt soyabeen,Redomil Gold 30gm +humic acid 30 ml /15 Lit of Water Drenching.
aphide,SPRAY ADMIRE 5 GM + BAVISTIN 30 GM / 15 LITER WATER
aske thrips,Spray super confidor 10 ml+ M-45-30 GRAM  /15 liter water(Imida 17.8 sl)-Bayer
leaf curl due sucking pest,Spray Karate 15ml + Lancer gold 25 gram + antracol 30 gram  / 15 lit of water.
catpiller attacks,Messile 15ml/15 Lit of Water.
white fly bollworm,SPRAY MARKER 30 ML /15 liter water
bollworm sucking pest,Spray Profenophos 20 ml + Regent 30 ml //15 liter of water.
red mites white fly,spray polo 12 gm / 15 litter of water 
flower drop caterpillar,SPRAY PLANOFIX 4 ML(Bayer)/15 LITER WATER +Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta
wilt fungus,Drenching Redomild gold 30 gm +  Humic acid 30 ml in 15 lit of waterSpray Bavistine 30gm/15lit of Water.
bug,Spray Nuvan 15ml/ 15Lit of Water(Diclorvos 76%)Cheminova
white grubs,humnasur 5-6 kgs/acre
jaside,spray polo 240gm /lit of water
bollgard,spray quanalphos 30 ml/pump
ocntrol fungal,spray of copper oxicholoride 200gram +30 gram streptocycline  in 200 liter warer
informatiom fungal,spray of 300 ml rogor +300 gram saaf M -45 in 200 liter water
