Ouery_Cleaned,Answer
mildew,Spray Bavistine 30gm/15liter of Water(Carbendazim 50%)BASF
catterpilrs red gram,SPRAY MICROLLA 30 ML + BAVISTIN 30 GM + nuvan 30 milli  /15 LITER WATER.
farmer flowering,Spray Boom flower 30ml/15lit of Water.
askedm leaf eating catterpillrs,SPRAY of Chloropyriphos 40 ml + M-45 -30 GRAM  / 15 lit of water
tonic bloosming,Spray Boom flower 30ml(DeviCropscience)/15 liter of Water.
black spot leaves,  SPRAY REDOMIL GOLD 30 GM /15 LIET WATER.
sucking peast fungus,Spray Ullala 8 gm +  Natio 06 gm/15 Liter of Water(Tebuconyazol+Trifloxystrobin)-Bayer
farmer biological, spray Bio power -303 (2 ml /liter )
yellowing leaves fall,Spray Bavistane 30 gm + Humic Acid 30ml/15 Liter of Water Drenching.
wilt pigeon pea,Drenching Bavistine 30gm + Humic Acid 30ml/15 Lit of Water
farmer flower rate,Spray Boom flower 20ml/15lit of Water.
floer drop,SPRAY PLANOFIX 5 ML(Bayer)+ 00:52:34 60 GM/15 LITER WATER
redding leaves, MAGNESIUM SULFHATE 100 GRAM  + UREA 100 / SPRAY IN 15 LITER OFWATER .
farmer flower drop thrips white fly,00:52:34-60 gram + borocall-60 gram /15 liter water Spray rejent 15 ml/15 liter water.
attackof sucking pest,Spray Tata manik 7 gm + acephate - 30 gram /15 liter of water(Acetamapride20SP)-Tata Rallis
powdery mildew,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf
folwer drops,SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER.
bout sucking pest,Spray Tata manik 7 gm + super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
white fly caterpillar, spray record  10 GRAM + Proclaim 5 gm / 15 lit of Water.
aabout readning,SPRAY MAGNESIUM SULPHATE 20GM + DAP 200GM / 15 LIT WATER
thips,Spray profenophos 30 ml/ 15 liter of water
bloosming,Spray Boom flower 20ml(DeviCropscience)/15 liter of Water.
milly bug,Spray malathion  15ml/15 Liter of Water.
thrips aphids,spray lancergold 25gm+bavistin 30gm / 15 lit of water
farmer mealy bugs,spray nuvan 20-25 ml/15 liter of water.
leaf miner,Spray Neem Solution 20 ml/10 Liter of Water.
white flay,Spray Tata manik 7 gm +  13:40:13 60 gm/15 liter of water(Acetamapride20SP)-Tata Rallis
thrips phone university,"Spray Actra 5 gm/15 Lit of Water.Mahatma Phule Krishi Vidyapeeth-rahuri,Ahmednagar(02426)243208,243311,243215"
growth thrips yellowing,19:19:19-60 gram + microla -30 mili / 15 liter water Spray Actra 5 gm/15 Lit of Water.SPRAY MICROLLA 30 ML + BAVISTIN 30 GM /15 LITER WATER.
leaf fall,spray planofix 5 ml/15 li water.
farmer reddning,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
thrips thrips,Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-Bayer
groth,19;19;19;-60 GRAM + MICROLAA -30 MILLI / 15 LITERR WATER SPRAY .
catterpillrs,Spray Polo 25gm + M-45 -30 GRAM/15 Liter of Water(Diafenthiuron)-Syngenta
reddning sucking pest,SPRAY MAGNESIUM SULPHATE 60 GM +actera 5 gm/15 LITER WATER
caterpillrs leaves,Spray Chloropyriphos 30ml+ M-45- 30 GRAM/15 Liter of Water.
white mealy bugs,Spray NUVAN  30 ml +M-45 30 GRAM /15 liter of water(Imida 17.8 sl)-Bayer
flower droppnig,SPRAY PLANOFIX 5 ML(Bayer)+ 00:52:34 60 GM/15 LITER WATER
bliget,spray blue copper 30 gram  +  streptocyclean 45 gm/15 Lit of Water.
wilt attackk,Spray Redomil Gold 30 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
co tton wilt,apply Chloropyriphos 30ml/15 Lit of Water.
leaf drop sucking pest condition,"spray bio-303 , PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER."
sucking peat,spray acephate 30 gm +pride 6 gm / 15 liter of water 
thrips white fly redning farmer flowering,Spray rejent 15 ml/15 liter water.Apply MAGNESIUM SULPHATE 10 KG/ACRE.Spray Boom flower 20 ml /15lit of Water.
rust,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf
soybean caterpillrs,SOYBEAN CATERPILLRS ATTACK-=Spray Polo 25gm+M-45 -30 GRAM  /15 Liter of Water(Diafenthiuron)-Syngenta
thrips growth fertilizerv spray,Spray Actra 5 gm/15 Lit of Water.
aasked redding, UREA 100 GRAM + UREA 100/ SPRAY 15 LITER OF WATER .
stop extra growth pumpkin,STOP EXTRA GROWTH OF pumpkin -Spray Leocine 7 ml /15 liter of water.
thrips fertilizer dose growth,Spray Actra 5 gm/15 Lit of Water.19:19:19-60 GRAM + MICROLA-30 MILI / 15 LITER WATER
suckig pest,spray bio -303  15 mili / 15 liter of water.
sucking pest fungus,Spray Ullala 8 gm + Redomild gold 30 gm/15 Lit of Water.
suck ing pest,Spray Regent 30 ml + 00:52:34 60 gram/15 liter of water.
yellowing thrips,SPRAY MICROLA 30 ML + BAVISTIN 30 GM /15 LITER WATER.Spray Karate15 ml/15 Lit of Water.This week weather is Partly cloudy and  Possibility of Rainfall.
root rot pigeon pea,Redomil Gold 30 gm+humic Acid 30 ml(Mephonaxon+mancozeb)syngnt
wilt farmer flower drop,Drenching Redomild gold 30 gm +  Humic acid 30 ml in 15 lit of waterSPRAY PLANO FIX 3 ML /15 LITER WATER.
atack sucking pest,spray acephate 30gm + supar confidor 6ml / 15 liter of water 
cooton white fly,Spray Ullala 8 gm + M-45 = 30 GRAM /15 Lit of Water(flonicamid)-UPL
borer attak,Spray Quinalphos (20 % AF) 22 ml+Profex super 30 ml/15 liter of water
attck catterpirs,Spray Quinalphos (25 % EC)15 ml/ l5 liter of water
leaf eating caterpillrs,Spray Quinalphos (20 % AF) 22 ml+KARATE 10 MILLI + M-45 30 GRAM /15 liter of water
askwed leaf eating catterpillres,Spray Profex super 30 ml+ M-45 30 GRAM + MICROLLA 30 MILLI (Profenofos+ Cypermethrin)-Nagarjuna //15 liter of water
caterpillar thrips aphids,Spray Ullala 8 gm+Tata mida10 ml /15 Lit of Water.(flonicamid)-UPL
reding leaves,SPRAY MAGNESIUM SULPHATE 80 GM + UREA 100 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
wilting,urea 150 gm +potash 150 gm +blue copper 30 gm /15 lit
jawar fertilizer doses,apply phorate-10 kilo /acre
pashusavrdhan tollfree number,WEATHER INFORMATION?Cloudy weather Possibility of High to Medium Rainfall
baout caterpillar,Spray Rogar 15ml/15 Liter of Water(Dimethoate)-Cheminova
bollworms,spray misile 7gm / 15 lit of water
sucking pesat reddning,SPRAY MAGNESIUM SULPHATE 60 GM + 00:52:34 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
rednig,mg sulphate 100 gm + urea 200 gm + zn sulphate 20 gm / 15 litar water
mistackaly sprayin weedicide,Taba tonic 30ml/ pump.
askede thjrips,Spray Regent 30 ml + M-45 -30 GGRAM /15 liter water(Fipronil 5 SC)-Bayer
growth purpose,spray 0:52:34  60gm + microlla 30 ml + planofix 5ml / 15 lit of water
blight attackk,Spray Kavach  25 gm + KARATE 25 MILLI +      /15 Liter of Water(Chlorothalonil)-Syngenta
asksed red bug,spray melathion 1 ml / 1 liter water
white fly aphids thrips, Spray Tata manik 7 gm +  Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
farmer flower drop farmer flowering thrips,SPRAY PLANO 3 ML /15 LITER WATER.Spray Boom flower 20ml/15lit of Water.Spray rejent 15 ml/15 liter water.
farmer root rot infection, dreching bavistin 30 gms+ humic acid 30 ml in 15 liter of water.
leaf eating catterpilrs,Spray Profex super 10 ml + ULLALA 10 MILLI + M-45 30 GRAM /15 liter of water(Profenofos+ Cypermethrin)-Nagarjuna
white kly,Spray Ullala 8 gm/15 Lit of Water(flonicamid)-UPL
caterpillrs,Spray Quinalphos (25 % EC)15 ml Profex super 10 ml/ l5 liter of water
sucking pest reddning,SPRAY MAGNESIUM SULPHATE 60 GM + 00:52:34 60 gm +bavistin 30 gm / 15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
redding,spray rijent 30 mili+ magnesium sulphate /pamp water
catterpills,Spray Quinalphos (20 % AF) 22 ml +-m-45 30 gram /15 liter of water
blomming, Spray Boom flower 20ml(DeviCropscience)/15 liter of Water.
fertilizer dose growth,fertilizer dose for growth - spray 0:52:34  60gm + microlla 30ml / 15lit of water
fofr red leaf,Spray 80gram magneshium sulphate+zn sulphate 20gram +100 gram urea  in 15 lit water
aske aphids thrips jassids,Spray Regent 30 ml /15 liter water(Fipronil 5 SC)-Bayer
farmer thrips, Spray Ullala 10 gm/15 Lit of Water.
caterpillar tur,attack of Caterpillar  on tur- Spray Quinolphos 30 ml/15 liter of water.
soyabean leaf eating catter pilrs,SOYABEAN LEAF EATING CATTER PILRS=-Spray Quinalphos (20 % AF) 22 ml/15 liter of water
blight sucking pest,Redomil Gold 30 GM +  Admire  5 gm /15 
sucking pest blight,Spray super bavistin 30 gm + confidor 10 ml /15 liter of water.
white fly reddning,SPRAY MAGNESIUM SULPHATE 75 GM + Spray Oberon 15ml/15 Liter of Water
stem borer attak,Spray Quinalphos (20 % AF) 22 ml + M-45 30 GRAM /15 liter of water
dropping balls,SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER.
blight cotto,Spray Kavach  25 gm + KARATE 25 MILLI /15 Liter of Water(Chlorothalonil)-Syngenta
blight cottn,BLIGHT ATTACK ON COTTN-Spray Karate20ml+ REDOMIL GOLD 30 GRAM /15 Liter of Water(Lambda 5 SC)-Syngenta
thrips onion,Spray profenophos 30 ml/ 15 liter of water
fruit drop,SPRAY PLANOFIX 4 ML(Bayer) /15 LITER WATER
alternaria,Spray SAAF  30 gm/15 Liter of Water(Carbendazim 12%+Mancozeb 63%)-UPL
powdary growth, Spray Antracol  30 gm/15 Liter of Water(Propineb)-Bayer
aboutb sucking pest,Spray Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
thrips jassid thrps,Spray Karate20ml + M-45 30 GRAM /15 Liter of Water(Lambda 5 SC)-Syngenta
spray boom flower cottn,Spray Boom flower 20ml(DeviCropscience)/15 liter of Water.
atack thips,Spray Oberon 15 ml +M-45 -30 GRAM + /15 Liter of Water(spiromesifen 20.9%)-Bayer
od sucking pest,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
white fly bollworms,spray misile 7gm + pride 10gm / 15 lit of water
farmer blight,Spray Kavach  25 gm + MICROLLA 30 MILLI + KARATE 30 MILLI /15 Liter of Water(Chlorothalonil)-Syngenta
spry reduce extra growth,liosin 15 mili/15 lit
fertilizer spray growth thrips,spray bio-303(daman)  22.50ml / 15 lit of water
farmer white flies, spray (bio 303) 2 ml/liter
attak thrips, Spray Ullala 8 gm M-45 30 GRAM /15 Lit of Water(flonicamid)-UPL
aske die,bavistin  30 gm/15 Lit of Water Drenching.
folwer,SPRAY PLANOFIX 5 ML(Bayer)+ 00:52:34 60 GM/15 LITER WATER
vigorus groth, MICROLLA 30 MILLI + MGNESIUM SULPHATE =50 / SPRAY IN 15 LITER OF WATER.
balls dropping,SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER.
attck thrips,Spray Actra 5 gm + SAF 30 GRAM /15 Liter of Water(Thiomithoxom 25%)-Syngenta
askin g aphids thrips jassids,Spray  - Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
thrips fertilizer dose growth caterpillar,Spray Actra 5 gm/15 Lit of Water.19:19:19-60 gram  microla -30 mili / 15 liter water spray Quinolphos 30 ml in 15 liter wate
drying,drench bavistin 2gm/ liter of water.
leaf falling,Spray Plano fix 5ml/15 Lit of Water.
thrips attackk,Spray Pegasus 25 gm+ M-45 30 GRAM / 15 liter of water(Diafenthiuron)Syngenta
reddning fungus leaves,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
askedm thrips atatck, Spray Karate20ml + M-45 -30 GRAM /15 Liter of Water(Lambda 5 SC)-Syngenta
redding leaves cotto,MAGNESIUM SULFHATE 80 GRAM + UREA 80 GRAM / SPRAY IN 15 LITER OF WATER.
whitefly yellowing,Spray Ullala 8 gm/15 Lit of Water.
thrips white fly stop extra growth,Spray Actra 5 gm/15 Lit of Water.Spray Leocine 7 ml /15 liter of water.
abpout white fly thrips,Spray Admire 5 gm + Record  07 gm /15 Liter of Water (Imida 70 wp)-Bayer
catterpillars,Spray Profex super 30 ml+M-45 30 GRAM /15 liter of water+ (Profenofos+ Cypermethrin)-Nagarjuna
blight wilton,Spray - Score  8 ml/15 Liter of Water(Difenconyazol 25%EC)-Syngenta
thripsa ttack,confidor 10 ml /super confidor 10 ml /15 litar water
aske thrips,Spray super confidor 10 ml+ M-45-30 GRAM  /15 liter water(Imida 17.8 sl)-Bayer
bollworm sucking pest,Spray Profenophos 20 ml + Regent 30 ml //15 liter of water.
farmer root rot,drenching of bavistin 30 gms + humic acid 30 ml in 15 liter of water.
sowingtime,june-july month.
larvae, Quinalphos 25 EC 30 ml/pump spray
marke rate,18001028767
sowing time,june- july for it
wire fencing subcidi,no govt. subcidi.
larva problem, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
heliothese pink ball warm, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
fungus problem root, Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
abt variety,gujarat cotton hybrids-8
fungus problem, Mancozeb (M-45) 75% W.P. 35 gram/pump spray
market bazar,18001028767
rajko heliothis,quinalphos 30 ml.per pump and to spray.
sowing,"SUGG TO FYM ,DAP ,POTASH,MEGNESIYAM,MAYKO NYUTRIYANT  FERTILIZER  USE"
problem, Blue copper 40 gm./pump
mealybug problem, sprey tryzophose 25 ml/pump
larvae problem,cypermethrin 10 ml. per 10 liter water and to spray. quinalphose 30 ml per pump and to sprey
larva, spray quanalphos 30 ml/pump
flower dropping problem, spray boomflower 25 ml./pump.
molo,sugg to rogar 30 mili/pamp spre
mite,sugg to daycophol 30 mili /pamp spre
leaf red colour,mg so4 sprey 35 gm/pump and thimethoxam 5 gm/pump sprey
red leaf problem, Magnesium sulphate 100 gm/pump spray
thrips problem,rogar 20ml or thimethoxam 5 gm pump sprey
pink boll warm,to trizophos +deltamethrin 600 ml/acre and 25 ml /pump
mealy bug informaiton, Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
heliothese pink ball warm cotton,Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
termite nematod white grub, Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
wilt gnut,blue copper 40 gram in 1 pump
dry,crop insurance give and contact near bank
leaf spot problem,To spray mancozeb 35 gram per pump.
flower setting problem,boomflower 20-25ml/pump
red mite infestation,ethiyon 15 ml/pump sprey
tarmite,sugg to Chlorpyriphos 60  ml / 15 lit water
flowering problem,boom flower 20 ml/pump sprey for flower drop
termite,chloropyriphose 25 ml/pump
jasside,sugg to 1 gm streptocylin  + 20 gm blue copper (copper oxychoride) + 15 liter water
groundut chlorosis,hirakashi powder 100 gm+leman flower 10 gm/pump sprey
drop problem, 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
weed, Do not use any kind of weedicide after germination of crop
issue, Blue copper 40 gm/pump
milibag,Traizophos 20 ml / 10 lit water
melybug problem,to tryziphos 25 ml/pump spray
redmite problem, spray daykofol 30 ml./pump.
leaf blight,mancozeb 25 gram + streptocyclin 1 gm /pump
mealy bug problem,prophenophos 35 ml/pump
mite redmite ant, Dicofol 18.5 EC 25 ml/pump spray
angular leaf spot,1 gm streptocylin  + 20  gm blue copper (copper oxychoride) + 15 liter water
termite nematode white grub, Phorate 10 G 2 kg/vigha
yellowing fertilizer dose, 19-19-19 fertilizer 100 gm/pump spray
fal mate,sugg to boom flower 30 mili/pamp spre
angular,streptocyclin 6 gm+blue coper 50 gm/100 lit water
general informationsuggested,all information provide  thanks for calling in kisaan call center
sucking insect, imidachloropride 5 ml/pump monocrotophose 25 ml+aecifet 15 gm/pump
increase flower initiation, Boom Flower (Nitrobenzene) 15 ml/pump spray
sucking pests problem young crops, Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for
engular leaf spot,1 gm streptocylin  + 20 gm blue copper (copper oxychoride) + 15 liter water
leaf become red colour, spray magnesium sulfet 100 gram per pump.
fungus problem root wilt, Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
pink bollwolm,spray quinalphos  30  ml / pamp
pinkbollworm, quanalphos 25-30 ml/pump
form larvae problem, corazen 5 ml per pump and to sprey
pinkboll worm,sugg to thayodikarb 75 wp 45 gram/pamp spre
pink bollwarm, 8-10 pheroman trap per hacter
termites, give chloropyriphos 4 lit/ha with irrigation
red mite problem, ethiyon 15 ml/pump sprey dicofol 10 ml/pump sprey
sucking pest problem, imidachloropride 5 ml/pump monocrotophose 25 ml+aecifet 15 gm/pump
aphide problem, spray rogar 20 ml per pump.
irriganation,irrigation provide 8-9days interval in evening time
pink boll warm problem, spray neem oil 100 gram and detergent powder 10 gram /pump.
phool droping,sprey NAA 2 ml/pump
dusting pests insects, Methyl Parathion 2% dusting 5 kg/vigha
type larva,pheroman trap 2 trap/bigha and prophenophos 40 ml/pump or acetamiprid 12 gram
bt powder, information about powder
pink bollworm problem,pheroman trap 2-3 and chlorocyper sprey
wilt problem,To drenching blue copper 40 gram per pump.
cumin thirps,sugg to fipronil 30 ml/pump spray
urea application, 60-70ml/pump spray urea
pink ball worm yhe, spraythe quinalphos 20 mili in 10 litre of water
whitefly problem, prophenophose 25 ml/pump sprey phosphamidon 15 ml/pump sprey
aboutin cumin thirps,suggetsed propenpfos 30 ml pere pump
sucking pest comtrol, imidachloropride 5 ml/pump monocrotophose 25 ml+aecifet 15 gm/pump
removal amarvel, HAND WIDDING
root wilt,ti mancozeb
mealey bug,sugg to prophenopho 30 mili or  azadiretin 50 ml + 1 spoon diterjant powder spre
mealy bug larvae, Profenofos 50% EC 25 ml/pump spray Coragen 18.5 SC 5ml/pump spray [ final solution ]
human right contact number,1800 233 0222 grahak shurksha toll free no.
heliothese pink ball warm cottonsuggested install pharomon trap vigha spray ddvp ml quinalphos ml pump flowering stage, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
pink bollwormsuggested,Deltamethrin 1% EC+ Triazophos 39% EC 25 ml/pump spray
sucking pests problem cropask sucking pests problem, Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]
larva sucking pest, propheno + cyper 20 ml/pump
mealy bug problem thrips problem, sprey tryzophose 25 ml/pump monocrotophose 25 ml+aecifet 15 gm/pump
mealy bug variety, sprey tryzophose 25 ml/pump
mily bug,trizofos 25 mili in 1 pump with 1 spoon ditergent
white fly prolem, prophenophose 25 ml/pump sprey monocrotophose 25 ml+aecifet 15 gm/pump
problem groundnut, 2 lit chloropyriphose+50 kg sand/ha chloropyriphose 25 ml+cypermethrin 15 ml/pump
askabout sucking pest,sprey tryzophose 25 ml/pump
groundnut root rot, drenching with 40gm blue copper/pump
fro problem,monocrotophose 25 ml+aecifet 15 gm/pumpprophenophose 25 ml/pump sprey
rain,no rain in next few days
generel, All information provided - Thanks for calling in kisaan call center
root fungus problem,carbendenzim 50% w.p 30 gm/pump drenching  OR 250 gram/vigha water treatment
sucking larva pest, spray propheno + cyper 15-20 ml/pump
problem spider mite," Dichofol 18.5 EC 10ml, Ethion 50 EC 10 ml, Sulphur 50% WP mix in 10 litre water and spray"
larava, SPRAY QUINALPHOS 20 ML/PUMP
white fly thee,MINICROTOFOS 25 MILI IN 10 LITR EOF WATER
feromen trap, information about the feromen trap
application cow waste, 40-50ml/ pump (Cow wastage)
heliothis problem, spray quinalphos 30 ml./pump.
thirpd,sugg to fipronil 30 mili/pamp spre
abt reddish leaves, 100 gm urea /pump spray
leaves reddish, APPLY UREA 100 GM/PUMP SPRAY.
red thrips,prophenophos 30 ml/pump sprey
rainfall,sugg to rainfall
thripse,fipronil 20ml per pump
application npk, spray 19:19:19 100gm/pump
groundnut leaf yellow chlorosis problem, 100 gm hirakashi powder (FeSo4) + 10 gm limbu na ful (Cytric Acid) / pump spray
suckling pest, spray trizophos 25 ml/pump 
mealyybug, sprey prophenophos 30 ml/pump
flowering dropping, spray boomflower 20-25 ml/pump
heliothese pink ball warm cottonsuggested install pharomon trap vigha spray ddvp ml quinalphos ml pump flowering stage heliothese pink ball warm , Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
egg problem, Tricho Card apply in the field
yello, spray humic acid
pink ball worm,quinalfos 20 moili in 10 litre of water
pink ball warm, PHEROMAN TRAP 8-10 PER HACTER
spider mite pan kathiri,"Dichofol 18.5 EC 10ml, Ethion 50 EC 10 ml,"
trhips problem, imidachloropride 5 ml/pump monocrotophose 25 ml+aecifet 15 gm/pump
termite mealy bug,fipronil 25 ml/pump spreysprey tryzophose 25 ml/pump
pod,WEATHER EFFECT
phool kharva,sugg to boom flower 30 ml/pamp sprey
thrip sucking pest,trizophos 25 ml/pump sprey
sbout mite, Dicofol 18.5 EC 25 ml/pump spray
pink bollwormsuggested deltamethrin ec triazophos ec ml pump spray st round pink bollwormsuggested deltamethrin ec triazophos ec ml pump spray st round pink bollworm, Lambda cyhalothrin 5 EC 30  ml/pump spray ( 2nd round )
sucking pests problem suggested,Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]
vegetative growth,spray humic acid 20 gm /pump
milybug,profenofos 25 ml in 1 pump
chili thrips, spray fipronil 15ml/pump
flower drop problem, boom flower 20 ml/pump sprey for flower drop
mealbug, spray tyrzophos 30 ml/pump
mite jasside, Thiamethoxam 25% WG / 70% WS 6 gram +  Dicofol 18.5 EC 25 ml +DDVP 5 ml / pamp spre
sucking pests problem mealy bug, Imi Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] dacloprid 17.8% s.l. 5 ml/pump  spray
sucking pests problem,pump spray [Suitable for young crops
pan kathiri, Dicofol 18.5 EC 25 ml/pump spray
weediside,sugg to targa supar 25 ml/pump spray
termite problem, chloropyriphose 25 ml/pump fipronil 25 ml/pump sprey
groundnut white grub problem,chlorophyriphos 35ml/15 lit water in soil application
sucking pest ground nut, spray dimethoat 15 ml/pump for sucking pest in ground nut
activation market price,Request has been submitted
wilt dieseas,mancozeb 25 gram per pump and to spray.
white fly informationsuggested acetamiprid sp pride ekka gram pump spray, Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray
leaves curl,trijofos 15 mili in 10 litre of water
melybug,sprey tryzophose 25 ml/pump
sucking pests problem cropsuggested,Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]
larve,quinalfos 35 ml/pump
young coconut drop problem, 5 ml NAA (Planofix) / pump spray
sucking pests problem sucking pests problem, Monocrotophos 36% sc/ec/sl 20ml/pump spray Acephate 75% sp 15 gram/pump spray
red leaf problem cottonask larvae, Magnesium sulphate 100 gm/pump spray DDVP 5 ml + Cypermethrin 15 ml / pump spray
subsidy ikhedut registration, Contact computer operator in gram panchayat or gram sevak
larval, DDVP 5 ml + Quinalphos 25 ml /pump spray
larval problem, DDVP 5 ml + Quinalphos 25 ml /pump spray
sucking pests problem white fly, Monocrotophos 36% sc/ec/sl 20ml/pump spray Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray
variety,"Kidney bean (Vaal)Guj. Vaal-1, Pusa Early, Prolific15 oct - 15 nov"
sag papaya,"PapayaMadhubindu, Pusa Draft, Coimbtor-2July-August, Feb-March2500 plant/ha2 X 2 meter1 year40-50 kg/plant"
heliothese pink ball warm cottonask variety," Install 2 pharomon trap / vigha and spray DDVP 5 ml + Cypermethrin 15 ml  /pump at flowering stageGHB 15, 235, 183, 526, 528"
redpan,MEGNESIUM SULPHATE 25 KG PER HACTER
pesticide without problem cropask sucking pests problem, Don't use pesticides withou any disease or insects Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]
white fly larvae, Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray DDVP 5 ml + Cypermethrin 15 ml / pump spray
cumin wilt,carbendezim 15 gm / 10 lit water
heliothis brinjal,carbofuran 3G 30 kg. per ha and to apply.
market price,18001028767 call
wil,sugg to copar oxi cloraead 200 gm/vigha
flower problem regrowth,apply irrigation and fertilizer
abt sucking pest,Dimethoate 10 ml / 10 lit water
pink worm,sugg to indoksaakarb 14.5 sc 15 gram/pamp spre
pink ball warm problem, spray quinalphos 30 ml./pump.
heavy infestation pink boll worm, crop rotation
market price sms,Dial 18001028767.
maturation boll problem,its depend on variety
maturation problem,its depend upon the variety its means long term variety mature late
heliothese,sugg to quinalphosh 30 ml/pamp spre
termite sorghume,drenching the cloropayriphosh 30 mili / 15 liter
black leaf, spray carbandazim 25 gm/pump
fungus problem ground nut,bavistin 30 gm/pump dranching
flower dro, sprey boom flower 30 ml/pump
infection weedicide,spraying urea 30 gram in 1 pump
larva problem iyal,cypermethrin 10 ml. per 10 liter water and to spray.
droping flowering, spray boomflower 20 ml/pump
heloithis, sprey prophenophos 30 ml/pump
sucking pest citton, SPRAY DIMETHOAT 15  ML/PUMP 
infection,100 GRAM UREA PER PUMP
yellowing leaf, give urea fertilizer
virus,imidachloropride 5 ml/pump
milibug problem,PROFENOPHOS 40 ML/PUMP
registration market price,Request has been submitted
sucing pest,I SUGESTED TO SPREY DIEMITHOAT 15 ML/PUMP
heliothis, spray  quinalphose 20ml/pump
cut middle portion, FURADON ATHVA CHLOROPYRIPHOSE POWDER
larva conrol, Corazon 5 ml/pump
white grub g nut,chlorpyriphos
khapede,FURADON POWDER  DUSTING
heliothish,sugg to mithaeal perathiyon 2% 2 kilo/vigha
viral,imidachloropride 5 ml/pump
groundnut wilt,sugg to carbendezim 15 gm / 10 lit water
reaction due weediside, urea 100 gm/pump.
fopr caterpillar, sprey quinalphos 30 ml/pump
pinkbolworm, sprey quinalphos 30 ml/pump
aboutin thirps,suggetsed propenpfos 30 ml pere pump
bollgard, spry quanalphos 30 ml/pump
pre treatment, apply pheromone prap
feropan trap,agro centre
fungus disase,sugg. to blue copper 40gm/pump
problem larvae,quinalphose 30 ml per pump and to spreycorazen 5 ml per pump and to sprey
pinl boll worm, sprey  quinalphos 30 ml/pump
varity yield loss problem,"guj kapas sankar - 6,8,10,malika,bejdhan-2"
heliothis gnut, quinalphos 20 mili in 10 liter of water
reaction problem,100 gm / pump use urea
white grub ground nut, spray quinalphos 20 ml/pump 
fertilizer spre pamp,sugg to uriya 100 gram /pamp spre
pheromone trap, visit agriculture university.
groundnut clorochish,100 gm ferous sulfet+ 10  gm cytricacid /10 liter water &spray
intercropping,pulse crop
khapedi, give  mithayal parathion powder
pink larvae,corazen 5 ml per pump and tosprey
groundnut heliothish,sugg to quinalphosh 30 mili/pamp spre
mealy bug related, spray  monocrotophos 25 mili n  acephate 15 gram /pump
sucking insecticide problem,monocrotophose 25 ml+aecifet 15 gm/pump
pink bollworm heliothis, spray  quinalphose 20ml/pump
army warm problem,To spray quinalphos 30 ml.per pump.
grey leaves,defiency of magnesium and to spray that
larva problem cottton,quinalphose 30 ml per pump and to sprey
larva ground nut, sptray quinalphos 20 ml/pump 
ctton drying, SPRAY CARBANDAZIM 25 GM/PUMP
reaction,spray 100 gm urea / pump 
