Ouery_Cleaned,Answer
thrips hisar,spray of ethion @ 800 ml in 200 litre of water/acre.
whit fly thirps,spray of rogor 400 ml + 1 liter nimbicidin in 200 liter water /acre .
thirps mirchcrop,information regarding  how to control thirps in mirchcrop ?spray ;400 ml melathion or 350 gm rogor  in 200 liter water  / acre .
white fly thirips insect,spray 200 ml oberon + 500 ml nimicedyen + 100 gm pride in 200 litre water/acre.
zinc deficiency,control of zinc deficiency in cotton?spray 2.5kg Urea + 500 gm Zinc in 100 Ltr of water /acre .
hairly keterpilar sundi paddy crops,spray500 ml trijophos or 100ml cypermetherin or 800 ml monocrotophos in 200 lit in water / acre
morpanja,spray 2.5kg Urea + 500 gm Zinc in 100 Ltr of water /acre .
white fly cotoon,spray of oburan @ 200 ml + nimbisidin @ 500 ml + pride @ 100 gm in 200 litre of water/acre.
flower dropping,How to control flower  dropping ?spray :-N P K 13 0 45  in 150-200 lit water /acre.
fangle gaur,control fangle disease inguar :-spray 30gm streptocyclin+200 gm C.O C.in 200 lit water / acre.
white phanka,"SPRAY OF ROGAR 500ML,200 LIT. OF WATER PER ACRE."
fungle,control are:-spray-stereptocyclien@6-8 gram+coc coper oxi cloried)@600-800 gram in 150-200 leetr water per acer.
bandar panja,"spray of urea @ 2.5 kg,zinc @ 500 gm in 150 litre of water/acre."
marodiy,Spray of nimbiciden 500 ml + trazophos 500  ml  in 200 litwer water per acre .
sheath blight paddy,spray of hexaconazol @ 350 ml in 200 litre of water/acre
aphid guar,spray 400 ml. malathion in 200 lt. of water per acre.
aphid thrips spray,obron @ 200 ml + nimbicidine @ 300 ml + pride @ 100 gm in 200 liter water per acre.
fungal dieseas,Spray of coc 600 + 6 gm streptocyclin in 200 liter water per acre .
funjal cotten,SPRAY OF CARVENDAJIM (BABASTIN)500 GM IN 200 LITER WATER/ACRE .
open fruit cooton,"how to control open fruit in cooton crop-spray 5 kg urea,200 liter water per acre ."
spray daimethoeat rogor ec ml oxideemeton metasistox ec ml eemidakloroprid konfidor ml thyaameethoxaam ektara gram leetr water per acer,"how to control thrips in cotton crops?control are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram in 120-150 leetr water per acer,"
hcontrol thrips crops,"how to control are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram in 120-150 leetr water per acer,cdfc"
bacterial leaf blight,Spray 6gm. streptocyclin + 600 ml. copper oxichloride  in 200 lt. of water per acre.
fangle cottan,spray 6gm streptocyclin + 600 gm C.O C.in 200 lit water / acre.
leaf drop,spray of n:p:k(13:00:45)@2 kg in 200 litre of water/acre.
becterial blight willt,cotton crop ?spray coc @ 600-800 gm + streptocycline @ 8 gm in 200 litre of water/acre.
growth,spray of 500 gm zink + 2.5 kg of urea/acre.
soondi crops,how to control soondi  in cotton crops? spray 500 ml trijophos + 1 liter  nimbisidin in 200 lit in water / acre
thirips bajra,spray of melathion @ 200 ml/200 liter water/acre
ho becterial blight willt root rot fungal,Spray coc @ 600- 800 gm + streptocycline @ 6-8 gm in 200 litre of water/acre.
leaf curl white fly aphid mosaic virus,spray oberon @ 200 ml + pride powder @ 100 gm + 500 ml nimbiisidin dissolved in 200 litre of water/acre.
thrips aphids,spray of trizophas @ 600 ml in 200 litre of water/acre.
leaf cuarl cotten,control of leaf cuarl in cotten crop ? sapray of  500 ml @ trizofos + 500 ml @ nimbisidin in 200 liter water / acre .
caterpiller,spray of tracer @ 80 ml in 150 litre of water/acre.
arhar,DISEASE CONTROL IN ARHAR --SPRAY 2 GM BAVASTIN OR 2 GM SULFEX OR 1 GM KARATHEN IN 1 LITER WATER .
insect cooten,control of insect in cooten crop  -  sapray of 500 ml quinalfos in 200 liter water / acre .
insect cotten,control of insect in cotten crop ? sapray of 75 gram  espainosed in 150 liter water / acre
sundi arhar,SPRAY 500 ML QUINALPHOS 25 EC OR 250 ML MONOCROTOPHOS36 SL IN 250 LITER WATER.
white fly thrips american caterpiler,spray tryzophos @ 500-600 ml in 200 litre of water/acre
malformation,spray 2.5kg Urea + 500 gm Zinc in 100 Ltr of water /acre .
regrading thrips,spray or buffrofenzin @ 400 ml in 200 litre of water/acre.
white fly thrips sundi american caterpiler,spray tryzophos @ 500-600 ml in 200 litre of water/acre
sundi thrips,"How to control sundi ,thrips in cotton? speray 500 ml qwenolphos  or 75 ml tresar  mixed in 150 liter water / ecd ."
american catterpiller,spray quinalphos @ 800 ml in 200 litre of water/acre.
american catterpiller sundi,spray quinalphos @ 800 ml in 200 litre of water/acre.
white fly thrips leaf catterpiller grubsin,spray tryzophos @ 500-600 ml +Nimbisidin @ 300 ml mixed in 250 litre of water/acre
white yellow leaf paddy,"how to control white /yellow, red, leaf of paddy ?answer:-spray 2 -3 gm megneese  salphate  in 1 lit  water ."
whitefly aphid,Spray-200 ml obron+50 gram acaktara 200 liter water par acre.
stem borer paddy,how to control stem borer in paddy ?broadcast in 7.5 kg cartap(padan) / acre .
white flyin,how to control white thrips in cotton crops?spray500 ml trijophos +1 litre  nimbisidin in 200 lit in water / acre
ho root rot,"SPRAY C.O.C @ 800 GM ,STREPTOCYCLINE @ 8 GM IN 200 LITRE OF WATER/ACRE."
tinda dropping,"SPRAY OF BIOVEETA 600ML,120 LIT. OF WATER PER ACRE."
white fly thrips crops,spray-Oburon@200ml +nimbisidien @300ml+pried @100gram in 200 liter water per are:-
bacterial blight narma,"THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTON(NARMA) CROP,PLS SPRAY 500GM KOCIDE(COPPER HYDROXICHLORIDE)+2PCS STREPTOCYCLENE IN 150LITRE WATER/ACRE."
ho white fly,"spray oburn @ 200 ml +pride-100 gm,nimbisidin @ 1 litre mixed in 200 litre of water/acre."
flower leaf droping,Spray of poteesiuam nitreat 2 kg in 200 liter water per acre .
white fly cooton,spray of ethion @ 800 ml in 200 litre of water/acre.
thrips crops c,"how to control thrips in cotton crops?control are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram in 120-150 leetr water per acer,"
thrips crops spray daimethoeat rogor ec ml oxideemeton metasistox ec ml eemidakloroprid konfidor ml thyaameethoxaam ektara gram leetr water per acer,"how to control thrips in cotton crops?control are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram in 120-150 leetr water per acer,"
flower fruit drop,spray of planofix (N.A.A) @ 50 ml or potasium nitrate @ 2 kg mixed in 200 litre of water/acre.
bacterial leaf blight gwar,Information regarding how to control Bacterial Leaf Blight in gwar?Spray 12 gm. streptocyclin + 200 ml. Hexaconazole in 200 lt. of water per acre.
fangle guar,information regarding how to control fangle disease in guar crop?control fangle disease in guar :-spray 30gm streptocyclin+200 gm C.O C.in 200 lit water / acre.
e wheat fly crops,spray 350 ml Rogor + 1 litre Nimicedien in 200 litre water/acr
informatiom fungal,spray of 300 ml rogor +300 gram saaf M -45 in 200 liter water
jassids thrips,spray of oberon @ 200 ml + nimbicidine @ 500 ml in 150 litre of water/acre
white fly spray ml trijophos liter nimbisidin lit water acre,Information regarding how to control white fly in cotton crop ?spray500 ml trijophos +1 liter  nimbisidin in 200 lit in water / acre
ho becterial blight willt root rot spray coc gm streptocycline gm litre water acre,Spray coc @ 600- 800 gm + streptocycline @ 6-8 gm in 200 litre of water/acre.
sundi moong spray monocrotophosh ml liter water acre,HOW TO CONTROL SUNDI IN MOONG ? SPRAY OF MONOCROTOPHOSH @ 200 ML IN 200 LITER OF WATER/ACRE .
maraudiya,"SPRAY OF COC 600G,200LIT. OF WATER PER ACRE."
white thrips crops,how to control white thrips in cotton crops?spray500 ml trijophos +1 litre  nimbisidin in 200 lit in water / acre
fungal gwar,Spray of streptocyclin 30 Gm + 200 gm coperoxicloride in 200 lt. of water per acre.
aphid trips,spray Oberon @ 200 ml + nimbicidin @ 1000 ml in 200 liter water per acre.
disese kapas,Information regarding how to control disese in KAPAS ?Spray 12 gm. Streptocyclin + 200 GRAM. COPEROXICLORAIDE in 200 lt. of water per acre.
flower droping crops,"Control;-Spray-Potesium Naitreat@2 kilo in 200 liter water solution per acer,"
fungal paddy crops,"Information regarding how to control fungal disease in paddy crops?control:-spray-Luster@350 ml in 200 liter water per acer,"
funagl paddy,HOW TO CONTROL FUNAGL DISEASE IN PADDY ?  HOW TO CONTROL FUNJAL DISEASE IN PADDY ? SPRAY OF CARVENDAJIM (BABASTIN)500 GM IN 200 LITER WATER/ACRE .
thrips crops spray bufrrofenzin ml litre nimicidin litre water acre,how to control thrips in cotton crops?spray of bufrrofenzin @ 400 ml + 1 litre nimicidin in 200 litre of water/acre.
leaf drops,spray of n:p:k(13:00:45) @ 1.5 kg in 120 litre of water/acre.
fungal dieases,"spray 500 gram bavasten ,200 liter water per acre"
fungal diseases cottan,Spray-6gm. streptocyclin  + 600 gm. copper oxychloride  in 200 liter water per acre.
whitefly thrips crops,"How to control whitefly, thrips  in cotton crops?spray :-200 ml oberon+50 gram actara+500 ml nimisden in 200 liter water /acre."
sundi bajra,400 ml melathion 50 EC or 250 ml monocrotophos 36 SL or 500 ml quinalphos 25 EC in 250 liter water /acre .
thrips aphids white fly,spray of ulala @  80 gm in 150 litre of water/acre.
thrips white fly,spray of 80 ml ulala in 150 litre of water/acre.
leaf carl crops spray ml trijophos ml nimbisidin lit water acre,How to control leaf carl in cotton crops?spray500 ml trijophos +500ml nimbisidin in 200 lit in water / acre
parawilt,spray of cobalt chloride @ 2gm in 100 litre of water/acre.
ow leaf carl crops,ow to control leaf carl in cotton crops?spray :-200ml-350ml rogor in 150-200 lit water /acre.
sugarcane,DISEASE CONTROL IN SUGARCANE --SPRAY 800 GM BAVASTIN IN 250 LITER WATER /ACRE.
thrips paddy crops,control of thrips in paddy crops ? sapray of 350 ml rogor + 500 ml nimbisidin in 200 liter water acre
fruit borer cotten,control of fruit borer  in cotten  crop?spray 75 gm spynoshed in 120  liter water /acre.
mirids,spray of bufferenzin @ 400 ml in 200 litre of water/acre.
sundi cotten,control of sundi in cotten crop ? sapray of 800ml.linden in 200 liter water / acre .
pink ball worm,spray of tracer @ 75 gm in 120 litre of water/acre.
caterpillar growth,"spray of n:p:k(13:00:45) @ 2 kg , avaunt 200 ml in 200 liter of water/acre."
sundi spray ml quinalphos ec ml monocrotophos sl liter water,SUNDI CONTROL IN COTTON ?SPRAY 500 ML QUINALPHOS 25 EC OR 250 ML MONOCROTOPHOS36 SL IN 250 LITER WATER.
insect pest fruit,500 ml melathion 50 EC or rogor 30 EC or monocrotophos 36 WS or quinalphos 25 EC or metasystox 25 EC in 500 liter water / acre .
white fly trips aphid,"How to control white fly,trips and aphid in cotton?Spray- 80g Ulala in 150liter water/ acre ."
sundi paddy,SUNDI CONTROL IN PADDY  ?SPRAY 500 ML QUINALPHOS 25 EC OR 250 ML MONOCROTOPHOS36 SL IN 250 LITER WATER.
nformation fangle gaur,control fangle disease inguar :-spray 30gm streptocyclin+200 gm C.O C.in 200 lit water / acre.
morodiya,Spray-200 ml/ rogor 150 liter water per acre.
fungal gaur,Information regarding how to control fungal disease in gaur crop?Spray of hexaconazol @200 Ml+12 Gm straptocyclin in 200 Lt water/acre.
white thirips,"spray of polo 200 ml,150 lit. of water per acre."
fruit flower droping crops,"Information regarding how to control fruit and flower droping in cotton crops?Control are:-spray - potesiyam naitret@2 kg in 200 liter water per acer,"
whit fly thrips crops,spray-Oburon@200ml +nimbisidien @300ml+pried @100gram in 200 liter water per are:-
aphids gwar,spray 400 ml. malathion in 200 lt. of water per acre.
tinda drop,spray of potessiuam naitrait 2 kg in 200 liter water per acre .
tinda droping,"spray of potessiuam nitreat 2 kg in 200 liter water per acre ,"
bacterial blight,Spray of 30 gm plantomycin + 600 gm coc in 150 liter water per acre .
fungal diseases spray gm,streptocyclin  + 600gm. copper oxychloride  in 200 lt. of water per acre.
infomation deemak cottan,"2 liter cloropyrophose ,25 kilo rat per acre ."
marodiya,"how to control of marodiya  in cotton ? spray 500 ml traizophous , 600 ml nimisidin , 200 litre water  / acre ."
white,spray of traizofhos 600 ml + 1 liter nimbicidin in 200 liter water per acre .
thrips guar,spray confidor @ 150 ml in 200 liter of water /acre.
fangle cotten,control fangle disease in COTTEN :-spray 30gm streptocyclin+200 gm C.O C.in 200 lit water / acre.
serpentine leaf minor,spray of quinalphos @ 500 ml in 200 liter of water/acre.
burning paddy,spray of folicur @ 200 ml in 200 litre of water/acre.
weeds guar,how to weeds control in guar crop?weeds control in guar crop :-800 ml basalin in 250 lit water / acre
thrips til crops,"control are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram in 120-150 leetr water per acer,"
thrips ihow thrips crops,"control are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram in 120-150 leetr water per acer,cdfc"
insects paddy,spray of buffrofezene @ 350 ml + 100 ml nuwan in 150 litre of water/acre.
early blight bottle gourd,How to control Early Blight in bottle gourd?How to control Early Blight in bottle gourd-Spray 400 gm. Mencozeb in 200 lt. of water per acre.
extra growth,spray 32 ml ceycosil in 320 litre water/acre.
plz tell white fly,SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER
white yellow leaf cotten,"how to control white /yellow, red, leaf of cotten ?answer:-spray 2 -3 gm megneese salphate in 1 lit water ."
tell thripa,SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER
patta lapet paddy,Spray-@200 ml monocrotofhos in 150 liter water per acre.
leaf blight paddy,Spray of zenab 400 gm + 6 gm streptocyclin in 200 liter water per acre .
iformation deemak,Iformation regarding how to control deemak in cotton crop - Broadcast 2 Ltr chlorophyriphos +2 Ltr of water +25 kg sand  in  / acre  .
inseet,spray of rogor 350 ml+
white fly spray oburon ml pride gm nimbisidin litre mixed litre water acre,"spray of oburon @ 200 ml +pride-100 gm,nimbisidin @ 1 litre mixed in 200 litre of water/acre."
leaf curl thirips,"Fertilizer dose in cotton :- 50 kg dap or 150 kg ssp ,40 kg potas, 10 kg zink , 20 kg urea per acre."
faungal diesses,sappry-600 gram coper oxicloride with 200 liter water
thrips crops thyaameethoxaam ektara gram leetr water per acer cdfc,control are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or
phanka,"SPRAY OF ROGAAR 500ML,200 LIT. OF WTAER PER ACRE."
leaf curl spray,6gm. streptocyclin  + 600-800gm. copper oxychloride  in 200 lt. of water per acre.
white fly trips spray oberon ml gram actara ml nimisidin liter water per acre,"How to control white fly,trips in cotton?Spray-Oberon@ 200 ml+50 gram actara+500 ml nimisidin in 200 liter water per acre."
leaf carl crops cre,How to control leaf carl in cotton crops?spray500 ml trijophos +500ml nimbisidin in 200 lit in water / acre
white fly afids,"spray 200 ml oberon, 500 ml nimiceydene , 100 gm pride in 200 litre water/acre."
ho root rot fungal,"SPRAY C.O.C @ 800 GM ,STREPTOCYCLINE @ 8 GM IN 200 LITRE OF WATER/ACRE."
insect white fly,spray 200 ml oberon + 500 ml nimiceydene in 200 litre water/acre.
crops,information regarding how to disease control in cotton crops?spray 8 gram streptocyclin  + 800 gram c o c in 200 lit in water / acre
tell flower drop,SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER
parawilt disaese,spray of cobalt chloride@ 1gm in 100 litre of water/acre.
fregarding parawilt,spray of cobalat chloride @ 1gm in 100 litre of water/acre.
early blight tomato,How to control Early Blight in Tomato?Spray 400 gm. M-45 in 200 lt. of water per acre.
insect crops,how to control insect in cotton crops? spray :-200ml-350ml rogor in 150-200 lit water /acre. ya 10 kg mithail peirathiyan in 20 kg mitti / acre .
gov sondhi paddy,how to control gov sondhi in paddy crop ? spray 200 ml monocrotophos in 200 liter water per acre .
white fly jassid aphid,spray of oberon 200ml +1 liter nimicidin +50 gram actra i 200 liter water
white fly narma,"FOR THE CONTROL OF WHITE FLY IN COTTON(NARMA) CROP,PLS. SPRAY 500ML NIMISIDIN +200ML OBERON +100GM PRIDE /ACRE IN 150LITRE WATER."
aphids brinjal,Spray 400 ml. malathion in 200 lt. of water per acre.
stem borrer paddy,spray of 200 ml monocrotophas in 200 litre of water/acre.
growt,Spray of sycosil 32 ml in 320 liter water per acre .
thirps seasamum,information regarding  how to control thirps in seasamum crop ?spray ;200 gm melathion or200 ml  rogor in 200 liter water  / acre .
yellow white leaf paddy,spray 2 gm fares salfet @ per litre water.
leaf curl thirps,"Spray 120 ml. confidor,500 gram bavastin  in 150 lt. of water per acre."
anthrachnose narma,"THE CONTROL OF ANTHRACNOSE DISEASE IN COTTON(NARMA) CROP,PLS SPRAY 500GM SAAF(CARBENDAZIM12%+MANCOZEB63%WP) IN 150LITRE WATER/ACRE."
flower droping spray planofix ml liter water acre,How to control flower droping  in cotton crop ? spray of planofix @ 50 ml in 200 liter water /acre .
yello coller cotten,How to control yellow colour in cotten -spray-2 gram fures sulphate per liter water .
fungal disseses,Spray 6gm. streptocyclin  + 600gm. copper oxychloride  in 200 lt. of water per acre.
thrips c ec ml ops,"control are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram in 120-150 leetr water per acer,cdfc"
leaf hopper,Ulala 80gm.100liter water / acre .
termites cotten,Control of termites in cotten  ?40-50 ml chloropyriphos in 5 liter water / plant .
american xaterpiler white fly thrips,spray of tryzophos @ 500-600 ml + nimbisidin @ 300 ml mixed in 200 litre of water/acre.
insects,spray of spinoshed @ 75 gm in 150 litre of water/acre.
catterpiler,spray of avant @ 200 ml in 150 litre of water/acre.
sundi musturd,SPRAY 500 ML QUINALPHOS 25 EC OR 250 ML MONOCROTOPHOS36 SL IN 250 LITER WATER.
hight,Spray of sycosil 32 ml in 320 liter water per acre .
etra growth,spray 32 ml ceycosil in 320 liltre water/acre.
flower fruits drop crops,"control are:-spray- poteciem naitrate@2 kg mixed in 200 liter water per acer,"
fungal cottan,sappry-600 gram coper oxiclorid with 200 j=liter water
white fly thrips catterpiller sundi,spray nimbisidin@ 500 ml+oburan @ 200 ml +100 ggm pride mixed in 200 litre of water/acre
flower drooping,spray of planofix @ 50 ml in 200 liter water /acre .
flower fruit droppingin,How to control flower and fruit droppingin cotton crop ?spray of planofix @ oriofizin 1 ml/ 4.5 liter water .
thirps til,spray ;400 gm melathion or350 ml  rogor in 200 liter water  / acre .
termites,1.25 liter chloropyripous in25-30kg sand
turmite,broadcasting of chloropyriphos @ 1.5 litre + 1.5 litre of water + 25 kg of soil/acre.
nemaode problems wheat,broadcast to  furadan @ 13 kgmixed in 25 kg dry send/acre.
white fly leaf curl,"Information regarding how to control white fly ,leaf curl in cotton?Spray 300 ml. rogor + 1 lt. nimbecidine in 200 lt. of water per acre."
fungal diesaes,spray 400 gm m-45 in 200 liter water per acre
thrif,control of thrif  in cotton ?spray 300 ml rogor /200 liter water/acre
white bhunga,"SPRAY OF ROGAR 600ML,200 LIT. OF WATER PER ACRE."
aphids white fly sundi,"spray 1 liter nimbisideen ,350 ml rogor ,200 liter water per acre ."
rergarding stem borrer,spray of ekalux @ 500 ml in 150 litre of water/acre.
fangal,control are:-spray-stereptocyclien@6-8 gram+coc coper oxi cloried)@600-800 gram in 150-200 leetr water per acer.
whit fly,Spray 80 ml. alika in 120 lt. of water per acre.
stem borer,spray of quinalphos @ 500 ml in 150 litre of water/acre.
iformation deemak cotyton,Iformation regarding how to control deemak in paddy crop ?Iformation regarding how to control deemak in cotyton crop - Broadcast 2 Ltr chlorophyriphos +2 Ltr of water +25 kg sand  in  / acre  .
zinc defficincy,Spray of zinc salphate 500 gm + 2.5 kg urea in 100 liter water per acre .
thrips crops spray dimethoate rogor ec ml,"oxidemeton(metasystox)25ec @400ml  or imidacloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram in 120-150 leetr water per acer,"
white leaf spots,spray of blue copper @ 600gm + 6 gm streptocyclin in 150 litre of water/acre.
bhunga,"spray of rogar 600ml,200 lit. of water per acre."
marodia,spray of confidor @ 100 ml in 120 litre of water/acre.
white thrips,spray of oberon @ 200 ml  in 120 litre of water /acre.
stem wilt,spray of 600 gm copper oxichloride + 6 gm streptocyclin in 200 litre of water/acre.
past,Spray-rogor 350 ml + 1 liter nimbecidin oil 200 litar water per acre.
fungal diseses,spray 600 gm coperoxicloride and 6 gm streptoceyclene in 200 litre water/acre.
thirips paddy,Spray 200 ml. monocrotophos ya 500 ml mithail parathion in 200 lt. of water per acre.
miley bug,control of mili bug in cotton-spray profenophos @ 3 ml/litre of water ratio.
whit fly jassids crops,"Control are:-spray-Qunelphos or traizophose@600 ml +1 liter nimbisidin in 200 liter watrer per acer,"
termite paddy,information regarding how to control of termite in paddy  ?broadcast cloropyriphos @ 1.5 lt in 20 kg sand per acre.
willt root rot,control willt(root rot ) in cotton crop-spray of coc @ 600-800 gm  + streptocycline @ 6 gm dissolvd in 200 litre of water/acre  .
spray oberon ml gram actara ml nimisidin liter water per acre white fly trips,Spray-Oberon@ 200 ml+50 gram actara+500 ml nimisidin in 200 liter water per acre. -
treatment green hopper cotten,treatment  green hopper -   quinalphos 25 EC @ 1liter  / .acre
leaf carlor white fly crops,How to control leaf carlor white fly  in cotton crops?spray500 ml trijophos +500ml nimbisidin in 200 lit in water / acre
,spray 2.5kg Urea + 500 gm Zinc in 100 Ltr of water /acre .
fungal diseaase bakani paddy,Information regarding how to control fungal diseaase(bakani) in paddy crop ?spray bavistin @ 400 gm in 200 litre of water/acre.
nimitod,broadcasting karbofuran 13 kg per acre .
fungle diseases,control of fungle diseases in cotton ?spray 6 gm streptocyclin +600 gm coc /200 liter water
deemak,how to control deemak in cotton  crop-1-1.5 liter cloropyrophose per acre .
cattterpiller,spray of cypermethrin @ 80 ml in 120 litre of water/acre.
black leafs thrips,spray of 300 gm blue copper + 200 ml oburon in 150 litre of water/acre.
flower bols droping crops,"Information regarding how to control flower and bols droping in cotton crops? control are:-spray potesiyam naitreat@2 kilo in 200 liter water per acer,"
fungal diseases crops,how to control fungal diseases in cotton crops?Spray-500 gram COC 200 letar water par acre.
lack sulphar,spray of sulphar @ 500 gm in 120 litre of water/acre.
white fly aphids spray ml rogor lt nimbecidine lt water per acre,Information regarding how to control white fly and aphids in cotton?Spray 300 ml. rogor + 1 lt. nimbecidine in 200 lt. of water per acre.
nformation white fly aphids,ISpray 300 ml. rogor + 1 lt. nimbecidine in 200 lt. of water per acre.
leaf curl white fly aphid,spray of rogor @ 300 ml + Nimbisidin @ 300 ml mixed in 200 litre of water/acre.
fruit sunddi,SPRAY OF CARBERIL @ 900 GM IN 200 LITER WATER/ACRE .
gov sondhi,Spray 500 ml. Quinalphos in 200 lt. of water per acre.
white fly thrips leaf catterpiller grubs,spray tryzophos @ 500-600 ml +Nimbisidin @ 500 ml mixed in 250 litre of water/acre
white fly thrips fruit borrer,spray oberan @ 200 ml + nimbisidin @  500 ml + pride -100 gm mixed in 200 litre of water/acre.
termite kapas,information regarding how to control of termite in kapas ?broadcast cloropyriphos @ 1.5 lt in 20 kg sand per acre.
leaf curl white fly aphid mosaicin,spray rogor @ 300 ml + 500 ml nimbiisidin dissolved in 200 liter water per acre.
termites fruit,40-50 ml chloropyriphos in 5 liter water / plant .
root catterpiller,give a dose of chloropyriphos @ 1 litre + 25 kg of soil and irrigate the field.
white yellow red leaf cotten,"how to control white /yellow, red, leaf of cotten  ? answer:-spray 2 -3 gm megneese salphate in 1 lit water ."
katra cotten,katra control in cotten  crop ?Seed treatment with 10 kg mithail perathiyaan or  quinalphos 25 EC @ 150 ml / 200 liter water pr acre  .
flower insect,spray of avant 200 ml in 150 litre of water/acre.
nemotod cotten,nemotod in cotten crop ? burkaw of 13 kg carbofyuraan 20 kg sukhi mitti /acre .
white leafs,spray of 500 gm blitox + 3 gm streptocyclin in 200 litre of water/acre.
kansua sugarcane,? spray of comfidor @ 150 ml in 200 liter of water/acre .
deemak cotten crops,spray -160 ml dychlorvas or 400chloropyriphos in 200 liter water /acre
sundhi fodder sorghum,how to control sundhi in fodder sorghum ?Spray 500 ml. Quinalphos in 200 lt. of water per acre.
tarmite,Broadcasting of Cloropyriphos @1.5 Ltr +1.5 Ltr water mixed 15 Kg sand/acre.
leaf curl mosaic thrips,spray rogor @ 300 ml in 200 litre of water/acre.
tela,"SPRAY OF 600ML,200LIT. OF WATER PER ACRE."
termite crops,information regarding control of termite in cotton crops?control are:- brodcast chloropyriphose @1.5 kilo in 25 kg dry soil.
termite cottont,Broadcast cloropyriphos @ 1.5 lt in 20 kg sand per acre.
white thrips crops water ecd,"how to control white  thrips in cotton crops?spray 200 ml oburon +750 ml nimbisidin,+200 gm pried in 200 litre  water /ecd"
regharding thrips black aphids,spray of 200 ml oberon + 50 gm ektara in 150 litre of water/acre.
thirips cotten,SPRAY OF CARBERIL @ 400 GM IN 200 LITER WATER/ACRE .
weeds gwar,control weeds in gwar crop -no chamecal used only hand hoeing .
leaf catterpiller gwar,spray quinalphos @ 500 ml mixed in 200 litre of water/acre.
termite wheat,information regarding how to control of termite in wheat?broadcast cloropyriphos @ 1.5 lt in 20 kg sand per acre.
insect pest moong,SPRAY 400 ML MELATHION 50 EC OR ROGOR 30 EC OR 250 ML METASYSTOX 25 EC IN 250 LITER WATER /ACRE
moong,"spray blitox -50 , M-45 , @ 600-800 Gm 250 liter water /acre ."
nformation termite cotten,nformation regarding how to control of termite in COTTEN ?broadcast cloropyriphos @ 1.5 lt in 20 kg sand per acre.
thrips crops spray daimethoeat rogor ec ml oxideemeton metasistox ec ml,"control are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram in 120-150 leetr water per acer,cdfc"
nformation termite,nformation regarding how to control of termite in cotton  ?broadcast cloropyriphos @ 1.5 lt in 20 kg sand per acre.
thirps chilles,spray ;400 gm melathion or350 ml  rogor in 200 liter water  / acre
thripes,"spray 100 ml confedor + 300 ml rogor + 300  nimesidin ml @ 300 lt water par acre ,"
nformation aphids white fly,spray of 200 ml oberon + 50 gm ektara in 120 litre of water/acre.i
root borrer paddy,broadcast to carbofuran @ 10 kgmixed in 20 kg urea/acre.
zinc deficiency zinc deficiency spray kg urea gm zinc ltr water acre,control of zinc deficiency in cotton? spray 2.5kg Urea + 500 gm Zinc in 100 Ltr of water /acre .
tell white fly,SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER
plz tell aphids,SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER
leaf folder paddy,Spray 400 ml. monocrotophos in 200 lt. of water per acre.
aphids liptish,spray 400 ml. malathion in 200 lt. of water per acre.
leaf catterpiller,spray of profanophos @ 400 ml in 120 litre of water/acre.
miley buge,spray of profenofosh @ 3 ml/liter water .
fungal diseaase,spray bavistin @ 400 gm in 200 litre of water/acre.
bakaini diseases paddy,Information regarding  how to control bakaini diseases in paddy?Spray 500 gm. Carbendazim in 150 lt. of water per acre.
sundhi,how to control sundhi in COTTON. ?Spray 600 ml. Quinalphos in 200 lt. of water per acre.
zinc dificiance paddy,spray 2.5 kg Urea + 500 gm Zinc in 200 Ltr of water /acre
