SampleNo,SampleCollectionDate,LandArea,Irrigation,Longitude,Latitude,pH,EC,Organic Carbon (OC),Available Nitrogen (N),Available Phosphorus (P),Available Potassium (K),Available Sulphur (S),Available Zinc (Zn),Available Boron (B),Available Iron (Fe),Available Manganese (Mn),Available Copper (Cu)
PB/2017-18/95705666/1,20-06-2017,4.00  Acre,Irrigated(Tube well),31.742384,74.833723,7.56 : Moderately alkaline,0.21 dS/m: ,0.45 %: Low,-- kg/ha: ,9.22 kg/ha: Very Low,98.43 kg/ha: Low,25.13 ppm: Sufficient,0.82 ppm: Sufficient,-- ppm: ,15.66 ppm: Sufficient,4.31 ppm: Sufficient,1.26 ppm: Sufficient
PB/2017-18/95705730/2,20-06-2017,8.00  Acre,Irrigated(Tube well),31.742405,74.836263,8.21 : Moderately alkaline,0.21 dS/m: ,0.34 %: Low,-- kg/ha: ,14.65 kg/ha: Low,62.75 kg/ha: Very Low,27.34 ppm: Sufficient,0.75 ppm: Sufficient,-- ppm: ,14.01 ppm: Sufficient,5.46 ppm: Sufficient,1.47 ppm: Sufficient
PB/2017-18/95705730/1,20-06-2017,8.00  Acre,Irrigated(Tube well),31.742405,74.836263,8.21 : Moderately alkaline,0.21 dS/m: ,0.34 %: Low,-- kg/ha: ,14.65 kg/ha: Low,62.75 kg/ha: Very Low,27.34 ppm: Sufficient,0.75 ppm: Sufficient,-- ppm: ,14.01 ppm: Sufficient,5.46 ppm: Sufficient,1.47 ppm: Sufficient
PB/2017-18/95705782/2,20-06-2017,3.00  Acre,Irrigated(Tube well),31.742306,74.831499,8.45 : Moderately alkaline,0.20 dS/m: ,0.43 %: Low,-- kg/ha: ,5.42 kg/ha: Very Low,113.10 kg/ha: Low,20.70 ppm: Sufficient,1.26 ppm: Sufficient,-- ppm: ,6.75 ppm: Sufficient,3.31 ppm: Sufficient,1.91 ppm: Sufficient
PB/2017-18/95705782/1,20-06-2017,3.00  Acre,Irrigated(Tube well),31.742306,74.831499,8.45 : Moderately alkaline,0.20 dS/m: ,0.43 %: Low,-- kg/ha: ,5.42 kg/ha: Very Low,113.10 kg/ha: Low,20.70 ppm: Sufficient,1.26 ppm: Sufficient,-- ppm: ,6.75 ppm: Sufficient,3.31 ppm: Sufficient,1.91 ppm: Sufficient
PB/2017-18/95705844/2,20-06-2017,8.00  Acre,Irrigated(Tube well),31.740298,74.831447,8.19 : Moderately alkaline,0.13 dS/m: ,0.47 %: Low,-- kg/ha: ,11.25 kg/ha: Very Low,125.90 kg/ha: Low,27.94 ppm: Sufficient,1.16 ppm: Sufficient,-- ppm: ,18.15 ppm: Sufficient,5.59 ppm: Sufficient,2.08 ppm: Sufficient
PB/2017-18/95705844/1,20-06-2017,8.00  Acre,Irrigated(Tube well),31.740298,74.831447,8.19 : Moderately alkaline,0.13 dS/m: ,0.47 %: Low,-- kg/ha: ,11.25 kg/ha: Very Low,125.90 kg/ha: Low,27.94 ppm: Sufficient,1.16 ppm: Sufficient,-- ppm: ,18.15 ppm: Sufficient,5.59 ppm: Sufficient,2.08 ppm: Sufficient
PB/2017-18/95705903/2,20-06-2017,8.00  Acre,Irrigated(Tube well),31.740137,74.829247,8.16 : Moderately alkaline,0.24 dS/m: ,0.40 %: Low,-- kg/ha: ,10.16 kg/ha: Very Low,87.09 kg/ha: Low,25.10 ppm: Sufficient,1.92 ppm: Sufficient,-- ppm: ,16.69 ppm: Sufficient,4.35 ppm: Sufficient,2.28 ppm: Sufficient
PB/2017-18/95705903/1,20-06-2017,8.00  Acre,Irrigated(Tube well),31.740137,74.829247,8.16 : Moderately alkaline,0.24 dS/m: ,0.40 %: Low,-- kg/ha: ,10.16 kg/ha: Very Low,87.09 kg/ha: Low,25.10 ppm: Sufficient,1.92 ppm: Sufficient,-- ppm: ,16.69 ppm: Sufficient,4.35 ppm: Sufficient,2.28 ppm: Sufficient
PB/2017-18/95705962/2,20-06-2017,8.00  Acre,Irrigated(Tube well),31.738310,74.828950,8.61 : Strongly Alkaline,0.15 dS/m: ,0.41 %: Low,-- kg/ha: ,17.51 kg/ha: Low,51.88 kg/ha: Very Low,23.89 ppm: Sufficient,0.89 ppm: Sufficient,-- ppm: ,14.42 ppm: Sufficient,5.00 ppm: Sufficient,1.67 ppm: Sufficient
PB/2017-18/95705962/1,20-06-2017,8.00  Acre,Irrigated(Tube well),31.738310,74.828950,8.61 : Strongly Alkaline,0.15 dS/m: ,0.41 %: Low,-- kg/ha: ,17.51 kg/ha: Low,51.88 kg/ha: Very Low,23.89 ppm: Sufficient,0.89 ppm: Sufficient,-- ppm: ,14.42 ppm: Sufficient,5.00 ppm: Sufficient,1.67 ppm: Sufficient
PB/2017-18/95706019/2,20-06-2017,4.00  Acre,Irrigated(Tube well),31.738180,74.826612,8.58 : ,0.12 dS/m: ,0.44 %: Low,-- kg/ha: ,6.94 kg/ha: Very Low,121.20 kg/ha: Low,27.25 ppm: Sufficient,1.16 ppm: Sufficient,-- ppm: ,7.69 ppm: Sufficient,2.93 ppm: Sufficient,1.68 ppm: Sufficient
PB/2017-18/95706019/3,20-06-2017,4.00  Acre,Irrigated(Tube well),31.738180,74.826612,8.58 : ,0.12 dS/m: ,0.44 %: Low,-- kg/ha: ,6.94 kg/ha: Very Low,121.20 kg/ha: Low,27.25 ppm: Sufficient,1.16 ppm: Sufficient,-- ppm: ,7.69 ppm: Sufficient,2.93 ppm: Sufficient,1.68 ppm: Sufficient
PB/2017-18/95706019/1,20-06-2017,4.00  Acre,Irrigated(Tube well),31.738180,74.826612,8.58 : ,0.12 dS/m: ,0.44 %: Low,-- kg/ha: ,6.94 kg/ha: Very Low,121.20 kg/ha: Low,27.25 ppm: Sufficient,1.16 ppm: Sufficient,-- ppm: ,7.69 ppm: Sufficient,2.93 ppm: Sufficient,1.68 ppm: Sufficient
PB/2017-18/95706080/2,20-06-2017,8.00  Acre,Irrigated(Tube well),31.740125,74.826465,8.17 : Moderately alkaline,0.11 dS/m: ,0.36 %: Low,-- kg/ha: ,11.04 kg/ha: Very Low,101.40 kg/ha: Low,28.05 ppm: Sufficient,1.03 ppm: Sufficient,-- ppm: ,19.94 ppm: Sufficient,5.60 ppm: Sufficient,1.76 ppm: Sufficient
PB/2017-18/95706080/1,20-06-2017,8.00  Acre,Irrigated(Tube well),31.740125,74.826465,8.17 : Moderately alkaline,0.11 dS/m: ,0.36 %: Low,-- kg/ha: ,11.04 kg/ha: Very Low,101.40 kg/ha: Low,28.05 ppm: Sufficient,1.03 ppm: Sufficient,-- ppm: ,19.94 ppm: Sufficient,5.60 ppm: Sufficient,1.76 ppm: Sufficient
PB/2017-18/95706121/2,20-06-2017,8.00  Acre,Irrigated(Tube well),31.738252,74.824202,7.78 : Moderately alkaline,0.15 dS/m: ,0.42 %: Low,-- kg/ha: ,11.18 kg/ha: Very Low,95.46 kg/ha: Low,28.99 ppm: Sufficient,2.06 ppm: Sufficient,-- ppm: ,21.87 ppm: Sufficient,5.74 ppm: Sufficient,2.27 ppm: Sufficient
PB/2017-18/95706121/1,20-06-2017,8.00  Acre,Irrigated(Tube well),31.738252,74.824202,7.78 : Moderately alkaline,0.15 dS/m: ,0.42 %: Low,-- kg/ha: ,11.18 kg/ha: Very Low,95.46 kg/ha: Low,28.99 ppm: Sufficient,2.06 ppm: Sufficient,-- ppm: ,21.87 ppm: Sufficient,5.74 ppm: Sufficient,2.27 ppm: Sufficient
PB/2017-18/95706165/2,20-06-2017,8.00  Acre,Irrigated(Tube well),31.740189,74.824238,8.64 : Strongly Alkaline,0.14 dS/m: ,0.44 %: Low,-- kg/ha: ,12.67 kg/ha: Low,128.60 kg/ha: Low,50.85 ppm: Sufficient,2.69 ppm: Sufficient,-- ppm: ,18.87 ppm: Sufficient,2.59 ppm: Sufficient,2.25 ppm: Sufficient
PB/2017-18/95706165/1,20-06-2017,8.00  Acre,Irrigated(Tube well),31.740189,74.824238,8.64 : Strongly Alkaline,0.14 dS/m: ,0.44 %: Low,-- kg/ha: ,12.67 kg/ha: Low,128.60 kg/ha: Low,50.85 ppm: Sufficient,2.69 ppm: Sufficient,-- ppm: ,18.87 ppm: Sufficient,2.59 ppm: Sufficient,2.25 ppm: Sufficient
PB/2017-18/95706211/2,20-06-2017,8.00  Acre,Irrigated(Tube well),31.740202,74.821867,8.25 : Moderately alkaline,0.12 dS/m: ,0.45 %: Low,-- kg/ha: ,10.91 kg/ha: Very Low,142.10 kg/ha: Low,28.44 ppm: Sufficient,1.16 ppm: Sufficient,-- ppm: ,20.07 ppm: Sufficient,5.61 ppm: Sufficient,1.96 ppm: Sufficient
PB/2017-18/95706211/1,20-06-2017,8.00  Acre,Irrigated(Tube well),31.740202,74.821867,8.25 : Moderately alkaline,0.12 dS/m: ,0.45 %: Low,-- kg/ha: ,10.91 kg/ha: Very Low,142.10 kg/ha: Low,28.44 ppm: Sufficient,1.16 ppm: Sufficient,-- ppm: ,20.07 ppm: Sufficient,5.61 ppm: Sufficient,1.96 ppm: Sufficient
PB/2017-18/95706290/1,20-06-2017,11.00  Acre,Irrigated(Tube well),31.738464,74.822557,8.13 : Moderately alkaline,0.22 dS/m: ,0.47 %: Low,-- kg/ha: ,9.67 kg/ha: Very Low,90.79 kg/ha: Low,35.23 ppm: Sufficient,1.18 ppm: Sufficient,-- ppm: ,17.65 ppm: Sufficient,4.85 ppm: Sufficient,1.77 ppm: Sufficient
PB/2017-18/95706326/2,20-06-2017,3.00  Acre,Irrigated(Tube well),31.742315,74.838437,7.77 : Moderately alkaline,0.23 dS/m: ,0.36 %: Low,-- kg/ha: ,6.82 kg/ha: Very Low,99.91 kg/ha: Low,21.20 ppm: Sufficient,2.17 ppm: Sufficient,-- ppm: ,16.86 ppm: Sufficient,2.18 ppm: Sufficient,2.30 ppm: Sufficient
PB/2017-18/95706326/3,20-06-2017,3.00  Acre,Irrigated(Tube well),31.742315,74.838437,7.77 : Moderately alkaline,0.23 dS/m: ,0.36 %: Low,-- kg/ha: ,6.82 kg/ha: Very Low,99.91 kg/ha: Low,21.20 ppm: Sufficient,2.17 ppm: Sufficient,-- ppm: ,16.86 ppm: Sufficient,2.18 ppm: Sufficient,2.30 ppm: Sufficient
PB/2017-18/95706326/1,20-06-2017,3.00  Acre,Irrigated(Tube well),31.742315,74.838437,7.77 : Moderately alkaline,0.23 dS/m: ,0.36 %: Low,-- kg/ha: ,6.82 kg/ha: Very Low,99.91 kg/ha: Low,21.20 ppm: Sufficient,2.17 ppm: Sufficient,-- ppm: ,16.86 ppm: Sufficient,2.18 ppm: Sufficient,2.30 ppm: Sufficient
PB/2017-18/95706375/2,20-06-2017,7.00  Acre,Irrigated(Tube well),31.740237,74.833564,8.14 : Moderately alkaline,0.23 dS/m: ,0.44 %: Low,-- kg/ha: ,5.75 kg/ha: Very Low,95.38 kg/ha: Low,30.29 ppm: Sufficient,0.82 ppm: Sufficient,-- ppm: ,10.24 ppm: Sufficient,2.38 ppm: Sufficient,1.32 ppm: Sufficient
PB/2017-18/95706375/1,20-06-2017,7.00  Acre,Irrigated(Tube well),31.740237,74.833564,8.14 : Moderately alkaline,0.23 dS/m: ,0.44 %: Low,-- kg/ha: ,5.75 kg/ha: Very Low,95.38 kg/ha: Low,30.29 ppm: Sufficient,0.82 ppm: Sufficient,-- ppm: ,10.24 ppm: Sufficient,2.38 ppm: Sufficient,1.32 ppm: Sufficient
PB/2017-18/95706420/1,20-06-2017,11.00  Acre,Irrigated(Tube well),31.758736,74.843502,8.11 : Moderately alkaline,0.20 dS/m: ,0.47 %: Low,-- kg/ha: ,10.74 kg/ha: Very Low,101.80 kg/ha: Low,28.26 ppm: Sufficient,1.79 ppm: Sufficient,-- ppm: ,17.93 ppm: Sufficient,5.23 ppm: Sufficient,1.98 ppm: Sufficient
PB/2017-18/95706460/2,20-06-2017,7.00  Acre,Irrigated(Tube well),31.758525,74.845899,8.14 : Moderately alkaline,0.18 dS/m: ,0.47 %: Low,-- kg/ha: ,9.67 kg/ha: Very Low,82.32 kg/ha: Low,28.15 ppm: Sufficient,0.98 ppm: Sufficient,-- ppm: ,20.53 ppm: Sufficient,5.43 ppm: Sufficient,1.34 ppm: Sufficient
PB/2017-18/95706460/1,20-06-2017,7.00  Acre,Irrigated(Tube well),31.758525,74.845899,8.14 : Moderately alkaline,0.18 dS/m: ,0.47 %: Low,-- kg/ha: ,9.67 kg/ha: Very Low,82.32 kg/ha: Low,28.15 ppm: Sufficient,0.98 ppm: Sufficient,-- ppm: ,20.53 ppm: Sufficient,5.43 ppm: Sufficient,1.34 ppm: Sufficient
PB/2017-18/95706504/1,20-06-2017,11.00  Acre,Irrigated(Tube well),31.740322,74.840683,8.54 : ,0.10 dS/m: ,0.41 %: Low,-- kg/ha: ,19.58 kg/ha: Low,86.09 kg/ha: Low,24.78 ppm: Sufficient,1.18 ppm: Sufficient,-- ppm: ,22.08 ppm: Sufficient,2.22 ppm: Sufficient,1.50 ppm: Sufficient
PB/2017-18/95706545/2,20-06-2017,7.00  Acre,Irrigated(Tube well),31.738245,74.833534,8.19 : Moderately alkaline,0.10 dS/m: ,0.39 %: Low,-- kg/ha: ,21.92 kg/ha: Low,119.10 kg/ha: Low,21.10 ppm: Sufficient,1.23 ppm: Sufficient,-- ppm: ,22.76 ppm: Sufficient,1.72 ppm: Deficient,1.41 ppm: Sufficient
PB/2017-18/95706545/1,20-06-2017,7.00  Acre,Irrigated(Tube well),31.738245,74.833534,8.19 : Moderately alkaline,0.10 dS/m: ,0.39 %: Low,-- kg/ha: ,21.92 kg/ha: Low,119.10 kg/ha: Low,21.10 ppm: Sufficient,1.23 ppm: Sufficient,-- ppm: ,22.76 ppm: Sufficient,1.72 ppm: Deficient,1.41 ppm: Sufficient
PB/2017-18/95706598/2,20-06-2017,3.00  Acre,Irrigated(Tube well),31.738051,74.836189,8.35 : Moderately alkaline,0.17 dS/m: ,0.49 %: Low,-- kg/ha: ,8.78 kg/ha: Very Low,120.70 kg/ha: Low,28.62 ppm: Sufficient,1.50 ppm: Sufficient,-- ppm: ,12.14 ppm: Sufficient,3.79 ppm: Sufficient,2.12 ppm: Sufficient
PB/2017-18/95706598/1,20-06-2017,3.00  Acre,Irrigated(Tube well),31.738051,74.836189,8.35 : Moderately alkaline,0.17 dS/m: ,0.49 %: Low,-- kg/ha: ,8.78 kg/ha: Very Low,120.70 kg/ha: Low,28.62 ppm: Sufficient,1.50 ppm: Sufficient,-- ppm: ,12.14 ppm: Sufficient,3.79 ppm: Sufficient,2.12 ppm: Sufficient
PB/2017-18/95706643/2,20-06-2017,7.00  Acre,Irrigated(Tube well),31.738062,74.838401,8.09 : Moderately alkaline,0.15 dS/m: ,0.39 %: Low,-- kg/ha: ,10.52 kg/ha: Very Low,90.84 kg/ha: Low,23.22 ppm: Sufficient,0.76 ppm: Sufficient,-- ppm: ,9.77 ppm: Sufficient,3.48 ppm: Sufficient,1.46 ppm: Sufficient
PB/2017-18/95706643/1,20-06-2017,7.00  Acre,Irrigated(Tube well),31.738062,74.838401,8.09 : Moderately alkaline,0.15 dS/m: ,0.39 %: Low,-- kg/ha: ,10.52 kg/ha: Very Low,90.84 kg/ha: Low,23.22 ppm: Sufficient,0.76 ppm: Sufficient,-- ppm: ,9.77 ppm: Sufficient,3.48 ppm: Sufficient,1.46 ppm: Sufficient
PB/2017-18/95706687/2,20-06-2017,7.00  Acre,Irrigated(Tube well),31.738295,74.841011,8.15 : Moderately alkaline,0.15 dS/m: ,0.45 %: Low,-- kg/ha: ,10.15 kg/ha: Very Low,93.53 kg/ha: Low,23.83 ppm: Sufficient,0.77 ppm: Sufficient,-- ppm: ,9.25 ppm: Sufficient,3.26 ppm: Sufficient,1.43 ppm: Sufficient
PB/2017-18/95706687/1,20-06-2017,7.00  Acre,Irrigated(Tube well),31.738295,74.841011,8.15 : Moderately alkaline,0.15 dS/m: ,0.45 %: Low,-- kg/ha: ,10.15 kg/ha: Very Low,93.53 kg/ha: Low,23.83 ppm: Sufficient,0.77 ppm: Sufficient,-- ppm: ,9.25 ppm: Sufficient,3.26 ppm: Sufficient,1.43 ppm: Sufficient
PB/2017-18/95706773/2,20-06-2017,7.00  Acre,Irrigated(Tube well),31.735995,74.840634,8.21 : Moderately alkaline,0.18 dS/m: ,0.44 %: Low,-- kg/ha: ,11.40 kg/ha: Very Low,107.50 kg/ha: Low,28.66 ppm: Sufficient,1.08 ppm: Sufficient,-- ppm: ,21.99 ppm: Sufficient,6.15 ppm: Sufficient,1.80 ppm: Sufficient
PB/2017-18/95706773/1,20-06-2017,7.00  Acre,Irrigated(Tube well),31.735995,74.840634,8.21 : Moderately alkaline,0.18 dS/m: ,0.44 %: Low,-- kg/ha: ,11.40 kg/ha: Very Low,107.50 kg/ha: Low,28.66 ppm: Sufficient,1.08 ppm: Sufficient,-- ppm: ,21.99 ppm: Sufficient,6.15 ppm: Sufficient,1.80 ppm: Sufficient
PB/2017-18/95706817/2,20-06-2017,3.00  Acre,Irrigated(Tube well),31.736253,74.838576,8.19 : Moderately alkaline,0.20 dS/m: ,0.39 %: Low,-- kg/ha: ,11.19 kg/ha: Very Low,100.30 kg/ha: Low,29.32 ppm: Sufficient,2.04 ppm: Sufficient,-- ppm: ,21.32 ppm: Sufficient,5.71 ppm: Sufficient,2.23 ppm: Sufficient
PB/2017-18/95706817/1,20-06-2017,3.00  Acre,Irrigated(Tube well),31.736253,74.838576,8.19 : Moderately alkaline,0.20 dS/m: ,0.39 %: Low,-- kg/ha: ,11.19 kg/ha: Very Low,100.30 kg/ha: Low,29.32 ppm: Sufficient,2.04 ppm: Sufficient,-- ppm: ,21.32 ppm: Sufficient,5.71 ppm: Sufficient,2.23 ppm: Sufficient
PB/2017-18/95706863/1,20-06-2017,11.00  Acre,Irrigated(Tube well),31.736419,74.833750,8.16 : Moderately alkaline,0.14 dS/m: ,0.47 %: Low,-- kg/ha: ,12.80 kg/ha: Low,94.52 kg/ha: Low,52.06 ppm: Sufficient,2.84 ppm: Sufficient,-- ppm: ,19.85 ppm: Sufficient,2.96 ppm: Sufficient,2.29 ppm: Sufficient
PB/2017-18/95706900/2,20-06-2017,7.00  Acre,Irrigated(Tube well),31.736000,74.836372,8.58 : ,0.11 dS/m: ,0.39 %: Low,-- kg/ha: ,11.25 kg/ha: Very Low,133.60 kg/ha: Low,28.73 ppm: Sufficient,1.24 ppm: Sufficient,-- ppm: ,19.10 ppm: Sufficient,2.84 ppm: Sufficient,2.32 ppm: Sufficient
PB/2017-18/95706900/1,20-06-2017,7.00  Acre,Irrigated(Tube well),31.736000,74.836372,8.58 : ,0.11 dS/m: ,0.39 %: Low,-- kg/ha: ,11.25 kg/ha: Very Low,133.60 kg/ha: Low,28.73 ppm: Sufficient,1.24 ppm: Sufficient,-- ppm: ,19.10 ppm: Sufficient,2.84 ppm: Sufficient,2.32 ppm: Sufficient
PB/2017-18/95706947/1,20-06-2017,11.00  Acre,Irrigated(Tube well),31.736295,74.831276,7.93 : Moderately alkaline,0.25 dS/m: ,0.39 %: Low,-- kg/ha: ,12.45 kg/ha: Low,104.90 kg/ha: Low,32.04 ppm: Sufficient,1.63 ppm: Sufficient,-- ppm: ,19.14 ppm: Sufficient,5.39 ppm: Sufficient,1.95 ppm: Sufficient
PB/2017-18/95706991/2,20-06-2017,7.00  Acre,Irrigated(Tube well),31.733942,74.831619,7.21 : Moderately alkaline,0.21 dS/m: ,0.40 %: Low,-- kg/ha: ,9.25 kg/ha: Very Low,100.10 kg/ha: Low,33.68 ppm: Sufficient,1.19 ppm: Sufficient,-- ppm: ,18.73 ppm: Sufficient,5.10 ppm: Sufficient,1.75 ppm: Sufficient
PB/2017-18/95706991/1,20-06-2017,7.00  Acre,Irrigated(Tube well),31.733942,74.831619,7.21 : Moderately alkaline,0.21 dS/m: ,0.40 %: Low,-- kg/ha: ,9.25 kg/ha: Very Low,100.10 kg/ha: Low,33.68 ppm: Sufficient,1.19 ppm: Sufficient,-- ppm: ,18.73 ppm: Sufficient,5.10 ppm: Sufficient,1.75 ppm: Sufficient
PB/2017-18/95707036/2,20-06-2017,7.00  Acre,Irrigated(Tube well),31.736162,74.829025,7.13 : Moderately alkaline,0.26 dS/m: ,0.43 %: Low,-- kg/ha: ,6.74 kg/ha: Very Low,103.80 kg/ha: Low,21.45 ppm: Sufficient,2.09 ppm: Sufficient,-- ppm: ,17.01 ppm: Sufficient,2.30 ppm: Sufficient,2.26 ppm: Sufficient
PB/2017-18/95707036/1,20-06-2017,7.00  Acre,Irrigated(Tube well),31.736162,74.829025,7.13 : Moderately alkaline,0.26 dS/m: ,0.43 %: Low,-- kg/ha: ,6.74 kg/ha: Very Low,103.80 kg/ha: Low,21.45 ppm: Sufficient,2.09 ppm: Sufficient,-- ppm: ,17.01 ppm: Sufficient,2.30 ppm: Sufficient,2.26 ppm: Sufficient
PB/2017-18/95707081/2,20-06-2017,7.00  Acre,Irrigated(Tube well),31.736268,74.826690,7.74 : Moderately alkaline,0.24 dS/m: ,0.41 %: Low,-- kg/ha: ,6.13 kg/ha: Very Low,99.55 kg/ha: Low,29.24 ppm: Sufficient,0.85 ppm: Sufficient,-- ppm: ,10.49 ppm: Sufficient,2.53 ppm: Sufficient,1.31 ppm: Sufficient
PB/2017-18/95707081/1,20-06-2017,7.00  Acre,Irrigated(Tube well),31.736268,74.826690,7.74 : Moderately alkaline,0.24 dS/m: ,0.41 %: Low,-- kg/ha: ,6.13 kg/ha: Very Low,99.55 kg/ha: Low,29.24 ppm: Sufficient,0.85 ppm: Sufficient,-- ppm: ,10.49 ppm: Sufficient,2.53 ppm: Sufficient,1.31 ppm: Sufficient
PB/2017-18/95707130/2,20-06-2017,7.00  Acre,Irrigated(Tube well),31.734126,74.828995,7.46 : Moderately alkaline,0.22 dS/m: ,0.45 %: Low,-- kg/ha: ,10.62 kg/ha: Very Low,98.62 kg/ha: Low,28.33 ppm: Sufficient,1.90 ppm: Sufficient,-- ppm: ,18.86 ppm: Sufficient,5.55 ppm: Sufficient,2.00 ppm: Sufficient
PB/2017-18/95707130/1,20-06-2017,7.00  Acre,Irrigated(Tube well),31.734126,74.828995,7.46 : Moderately alkaline,0.22 dS/m: ,0.45 %: Low,-- kg/ha: ,10.62 kg/ha: Very Low,98.62 kg/ha: Low,28.33 ppm: Sufficient,1.90 ppm: Sufficient,-- ppm: ,18.86 ppm: Sufficient,5.55 ppm: Sufficient,2.00 ppm: Sufficient
PB/2017-18/95707182/2,20-06-2017,7.00  Acre,Irrigated(Tube well),31.734043,74.826674,7.28 : Moderately alkaline,0.31 dS/m: ,0.34 %: Low,-- kg/ha: ,19.78 kg/ha: Low,96.08 kg/ha: Low,25.48 ppm: Sufficient,1.33 ppm: Sufficient,-- ppm: ,21.11 ppm: Sufficient,6.43 ppm: Sufficient,2.17 ppm: Sufficient
PB/2017-18/95707182/1,20-06-2017,7.00  Acre,Irrigated(Tube well),31.734043,74.826674,7.28 : Moderately alkaline,0.31 dS/m: ,0.34 %: Low,-- kg/ha: ,19.78 kg/ha: Low,96.08 kg/ha: Low,25.48 ppm: Sufficient,1.33 ppm: Sufficient,-- ppm: ,21.11 ppm: Sufficient,6.43 ppm: Sufficient,2.17 ppm: Sufficient
PB/2017-18/95707233/1,20-06-2017,11.00  Acre,Irrigated(Tube well),31.730740,74.837963,7.72 : Moderately alkaline,0.25 dS/m: ,0.47 %: Low,-- kg/ha: ,20.47 kg/ha: Low,92.18 kg/ha: Low,20.69 ppm: Sufficient,1.08 ppm: Sufficient,-- ppm: ,23.80 ppm: Sufficient,2.19 ppm: Sufficient,1.07 ppm: Sufficient
PB/2017-18/95707288/2,20-06-2017,4.00  Acre,Irrigated(Tube well),31.728001,74.835827,7.83 : Moderately alkaline,0.13 dS/m: ,0.43 %: Low,-- kg/ha: ,5.75 kg/ha: Very Low,105.70 kg/ha: Low,6.24 ppm: Deficient,1.05 ppm: Sufficient,-- ppm: ,33.11 ppm: Sufficient,0.56 ppm: Deficient,2.78 ppm: Sufficient
PB/2017-18/95707288/3,20-06-2017,4.00  Acre,Irrigated(Tube well),31.728001,74.835827,7.83 : Moderately alkaline,0.13 dS/m: ,0.43 %: Low,-- kg/ha: ,5.75 kg/ha: Very Low,105.70 kg/ha: Low,6.24 ppm: Deficient,1.05 ppm: Sufficient,-- ppm: ,33.11 ppm: Sufficient,0.56 ppm: Deficient,2.78 ppm: Sufficient
PB/2017-18/95707288/1,20-06-2017,4.00  Acre,Irrigated(Tube well),31.728001,74.835827,7.83 : Moderately alkaline,0.13 dS/m: ,0.43 %: Low,-- kg/ha: ,5.75 kg/ha: Very Low,105.70 kg/ha: Low,6.24 ppm: Deficient,1.05 ppm: Sufficient,-- ppm: ,33.11 ppm: Sufficient,0.56 ppm: Deficient,2.78 ppm: Sufficient
PB/2017-18/95707341/2,20-06-2017,4.00  Acre,Irrigated(Tube well),31.728195,74.838499,7.84 : Moderately alkaline,0.22 dS/m: ,0.45 %: Low,-- kg/ha: ,17.08 kg/ha: Low,136.70 kg/ha: Low,26.38 ppm: Sufficient,1.53 ppm: Sufficient,-- ppm: ,25.94 ppm: Sufficient,5.36 ppm: Sufficient,3.29 ppm: Sufficient
PB/2017-18/95707341/3,20-06-2017,4.00  Acre,Irrigated(Tube well),31.728195,74.838499,7.84 : Moderately alkaline,0.22 dS/m: ,0.45 %: Low,-- kg/ha: ,17.08 kg/ha: Low,136.70 kg/ha: Low,26.38 ppm: Sufficient,1.53 ppm: Sufficient,-- ppm: ,25.94 ppm: Sufficient,5.36 ppm: Sufficient,3.29 ppm: Sufficient
PB/2017-18/95707341/1,20-06-2017,4.00  Acre,Irrigated(Tube well),31.728195,74.838499,7.84 : Moderately alkaline,0.22 dS/m: ,0.45 %: Low,-- kg/ha: ,17.08 kg/ha: Low,136.70 kg/ha: Low,26.38 ppm: Sufficient,1.53 ppm: Sufficient,-- ppm: ,25.94 ppm: Sufficient,5.36 ppm: Sufficient,3.29 ppm: Sufficient
PB/2017-18/95707396/2,20-06-2017,8.00  Acre,Irrigated(Tube well),31.725534,74.833900,7.85 : Moderately alkaline,0.41 dS/m: ,0.34 %: Low,-- kg/ha: ,10.61 kg/ha: Very Low,117.00 kg/ha: Low,15.79 ppm: Sufficient,1.17 ppm: Sufficient,-- ppm: ,18.08 ppm: Sufficient,3.19 ppm: Sufficient,2.54 ppm: Sufficient
PB/2017-18/95707396/1,20-06-2017,8.00  Acre,Irrigated(Tube well),31.725534,74.833900,7.85 : Moderately alkaline,0.41 dS/m: ,0.34 %: Low,-- kg/ha: ,10.61 kg/ha: Very Low,117.00 kg/ha: Low,15.79 ppm: Sufficient,1.17 ppm: Sufficient,-- ppm: ,18.08 ppm: Sufficient,3.19 ppm: Sufficient,2.54 ppm: Sufficient
PB/2017-18/95707484/2,20-06-2017,4.00  Acre,Irrigated(Tube well),31.722540,74.834422,7.45 : Moderately alkaline,0.24 dS/m: ,0.41 %: Low,-- kg/ha: ,11.98 kg/ha: Low,172.40 kg/ha: Medium,17.35 ppm: Sufficient,1.71 ppm: Sufficient,-- ppm: ,24.56 ppm: Sufficient,4.97 ppm: Sufficient,4.14 ppm: Sufficient
PB/2017-18/95707484/3,20-06-2017,4.00  Acre,Irrigated(Tube well),31.722540,74.834422,7.45 : Moderately alkaline,0.24 dS/m: ,0.41 %: Low,-- kg/ha: ,11.98 kg/ha: Low,172.40 kg/ha: Medium,17.35 ppm: Sufficient,1.71 ppm: Sufficient,-- ppm: ,24.56 ppm: Sufficient,4.97 ppm: Sufficient,4.14 ppm: Sufficient
