Ouery_Cleaned,Answer
ball growth,SPRAY 0.52.34 60 GRAM +MIKROLA 30 MILI +5 MILI /15 L WATER.
flower growth,SAPRAY 0.52.34 60 GRAM /15 L WATER
boll worm ion,for control of boll worm ion cotton Profenophos 25 ml/ 15 liter water.
caterpillar aphids pigeon pea,for control of caterpillar and aphids on pigeon pea -spray proclaim - 7 gram +super confidor - 10 ml / 15 litre water .
frtilzer spray,COTTON FRTILZER SPRAY=- 19;19;19-100 GRAM + MICROLLA 40 MILLI / SPARAY IN 15 LITER .
fertilizer,13:40:13 5 kg / acre
wilt drenching,Drenching Blue Copper 30 gm +humic acid 30 ml(Copper Oxichloride)-syngenta
milibug,SPRAY ADMIRE 5 GRAM /15 LI WATER
market rate onion,Market Rate of onion 4000-4140 rupees/qtl
wilt mar,Drenching of Blue Copper 30 gm +humic acid 30 ml(Copper Oxichloride)-syngenta
leaf spot sucking pest,FOR CONTROL  OF LEAF SPOT AND SUCKING PEST ON COTTON  SPRAY ACTRA - 5 GRM  +   REDOMIL GOLD 30 GM /15 LIET WATER.
blight pigeon pea,Spray Tilt 07 ml/15 Liter of Water(Propiconyazol 25%EC)-Syngenta
fungicide used root rot,Spray Redomil Gold 30 GM /15 LITER WATER(Metalaxl-M)-Syngenta
thrips farmer flower drop,Spray Actra 5 gm/15 Lit of Water.SPRAY PLANO FIX 5 ML /15 LITER WATER.
farmer flower drop thrips,SPRAY PLANO FIX 5 ML /15 LITER WATER.Spray Actra 5 gm/15 Lit of Water.
powdery,Spray Antracol  30 gm / 15 Liter of Water(Propineb)-Bayer
farmer govt schemes,visit to TAO to getting detail information about Govt. Schemes.
friut growth,SPRAY MIKROLA 30ML+0.52.34 60GRAM /15 L WATER.
thrips white fly farmer flower drop,Spray rejent 15 ml/15 liter water.SPRAY PLANO FIX 5 ML /15 LITER WATER.
thrips yellowing,Spray Karate15 ml/15 Lit of Water.19:19:19-60 GRAM + MICROLA-30 MILI / 15 LITER WATER
catterpilrs,CATTERPILRS ATTACK ON COTTON =Spray Profex super 30 ml+ REDOMILL GOLD 30 GRAM /15 liter of water(Profenofos+ Cypermethrin)-Nagarjuna
fertilzer spray,FERTILZER SPRAY FOR COTTON = 19;19;19=100 GRAM + MICROLLA 40 MILLI / SPRAY IN 15 LITER OF WATER..
better development bolls,SPRAY ISABION 40 ML / 15 LITRE OF WATER
aphids jassids,Spray Roger 15 ml/15 Liter of Water(Dimethoate)-Cheminova
wilt variety,"Drenching Redomild gold 30 gm +  Humic acid 30 ml in 15 lit of waterVARIETY-CO-86032(NIRA),CO-V S I-8074(MAHALAKSHMI),COM0265,CO.V.S.I.9805"
red bug,attack of red cotton bug on cotton- spray melathion 1.5 ml / liter water
white fly farmer flower drop,Spray Ullala 8 gm/15 Lit of Water.SPRAY PLANO FIX 5 ML /15 LITER WATER.
tur wilt,tur wilt - drenching blue copper 40 gm / 15 liter water
powder mildew,POWDER MILDEW ON COTTON=-Spray Antracol  25 gm+ KARATE 20 MILLI /15 Liter of Water(Propineb)-Bayer
reddening leaves,REDDNING ON COTTONSPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
mealybug,Spray Regent 30 ml /15 liter water(Fipronil 5 SC)-Bayer
mildew,Spray Bavistine 30gm/15liter of Water(Carbendazim 50%)BASF
catterpilrs red gram,SPRAY MICROLLA 30 ML + BAVISTIN 30 GM + nuvan 30 milli  /15 LITER WATER.
farmer flowering,Spray Boom flower 30ml/15lit of Water.
askedm leaf eating catterpillrs,COTTON LEAF EATING CATTERPILLRS=SPRAY of Chloropyriphos 40 ml + M-45 -30 GRAM  / 15 lit of water
tonic bloosming,Spray Boom flower 30ml(DeviCropscience)/15 liter of Water.
black spot leaves,for control  black spot on leaves on  cotton  SPRAY REDOMIL GOLD 30 GM /15 LIET WATER.
sucking peast fungus,Spray Ullala 8 gm +  Natio 06 gm/15 Liter of Water(Tebuconyazol+Trifloxystrobin)-Bayer
farmer biological,biological control for cotton = for control of sucking pest in cotton spray Bio power -303 (2 ml /liter )
yellowing leaves fall,Spray Bavistane 30 gm + Humic Acid 30ml/15 Liter of Water Drenching.
wilt pigeon pea,Drenching Bavistine 30gm + Humic Acid 30ml/15 Lit of Water
farmer flower rate,Spray Boom flower 20ml/15lit of Water.
floer drop,FLOER DROP OF COTTON-=SPRAY PLANOFIX 5 ML(Bayer)+ 00:52:34 60 GM/15 LITER WATER
redding leaves,REDDING LEAVES OF COTTON =- MAGNESIUM SULFHATE 100 GRAM  + UREA 100 / SPRAY IN 15 LITER OFWATER .
farmer flower drop thrips white fly,00:52:34-60 gram + borocall-60 gram /15 liter water Spray rejent 15 ml/15 liter water.
attackof sucking pest,Spray Tata manik 7 gm + acephate - 30 gram /15 liter of water(Acetamapride20SP)-Tata Rallis
powdery mildew,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf
folwer drops,folwer drops of cotton==-SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER.
bout sucking pest,Spray Tata manik 7 gm + super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
white fly caterpillar,for control of white fly and caterpillar on cotton - spray record  - 10 GRAM + Proclaim 5 gm / 15 lit of Water.
aabout readning,SPRAY MAGNESIUM SULPHATE 20GM + DAP 200GM / 15 LIT WATER
thips,Spray profenophos 30 ml/ 15 liter of water
bloosming,Spray Boom flower 20ml(DeviCropscience)/15 liter of Water.
milly bug,Spray malathion  15ml/15 Liter of Water.
thrips aphids,spray lancergold 25gm+bavistin 30gm / 15 lit of water
farmer mealy bugs,farmer asked about mealy bugs on cotton- spray nuvan 20-25 ml/15 liter of water.
leaf miner,Spray Neem Solution 20 ml/10 Liter of Water.
white flay,Spray Tata manik 7 gm + + 13:40:13 60 gm/15 liter of water(Acetamapride20SP)-Tata Rallis
thrips phone university,"Spray Actra 5 gm/15 Lit of Water.Mahatma Phule Krishi Vidyapeeth-rahuri,Ahmednagar(02426)243208,243311,243215"
growth thrips yellowing,19:19:19-60 gram + microla -30 mili / 15 liter water Spray Actra 5 gm/15 Lit of Water.SPRAY MICROLLA 30 ML + BAVISTIN 30 GM /15 LITER WATER.
leaf fall,spray planofix 5 ml/15 li water.
farmer reddning,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
thrips thrips,Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-Bayer
groth,19;19;19;-60 GRAM + MICROLAA -30 MILLI / 15 LITERR WATER SPRAY .
catterpillrs,CATTERPILLRS ATTACK ON COTTON=-Spray Polo 25gm + M-45 -30 GRAM/15 Liter of Water(Diafenthiuron)-Syngenta
reddning sucking pest,SPRAY MAGNESIUM SULPHATE 60 GM +actera 5 gm/15 LITER WATER
caterpillrs leaves,Spray Chloropyriphos 30ml+ M-45- 30 GRAM/15 Liter of Water.
white mealy bugs,Spray NUVAN  30 ml +M-45 30 GRAM /15 liter of water(Imida 17.8 sl)-Bayer
flower droppnig,flower droppnig cotton=SPRAY PLANOFIX 5 ML(Bayer)+ 00:52:34 60 GM/15 LITER WATER
bliget,spray blue copper 30 gram  +  streptocyclean 45 gm/15 Lit of Water.
wilt attackk,Spray Redomil Gold 30 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta??????? ????? ?? ?????/?? ???? ??????????? ???? ?????? ?????
co tton wilt,apply Chloropyriphos 30ml/15 Lit of Water.
leaf drop sucking pest condition,"spray bio-303 , PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER."
sucking peat,spray acephate 30 gm +pride 6 gm / 15 liter of water for controlling sucking pest on cotton
thrips white fly redning farmer flowering,Spray rejent 15 ml/15 liter water.Apply MAGNESIUM SULPHATE 10 KG/ACRE.Spray Boom flower 20 ml /15lit of Water.
rust,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf
soybean caterpillrs,SOYBEAN CATERPILLRS ATTACK-=Spray Polo 25gm+M-45 -30 GRAM  /15 Liter of Water(Diafenthiuron)-Syngenta
thrips growth fertilizerv spray,Spray Actra 5 gm/15 Lit of Water.
aasked redding,REDDING OF COTTON=- UREA 100 GRAM + UREA 100/ SPRAY 15 LITER OF WATER .
stop extra growth pumpkin,STOP EXTRA GROWTH OF pumpkin -Spray Leocine 7 ml /15 liter of water.
thrips fertilizer dose growth,Spray Actra 5 gm/15 Lit of Water.19:19:19-60 GRAM + MICROLA-30 MILI / 15 LITER WATER
suckig pest,spray bio -303  15 mili / 15 liter of water.
sucking pest fungus,for control of sucking pest and fungus  on cotton -Spray Ullala 8 gm + Redomild gold 30 gm/15 Lit of Water.
suck ing pest,Spray Regent 30 ml + 00:52:34 60 gram/15 liter of water.
yellowing thrips,SPRAY MICROLA 30 ML + BAVISTIN 30 GM /15 LITER WATER.Spray Karate15 ml/15 Lit of Water.This week weather is Partly cloudy and  Possibility of Rainfall.
root rot pigeon pea,for control of root rot in pigeon pea  - Redomil Gold 30 gm+humic Acid 30 ml(Mephonaxon+mancozeb)syngnt
wilt farmer flower drop,Drenching Redomild gold 30 gm +  Humic acid 30 ml in 15 lit of waterSPRAY PLANO FIX 3 ML /15 LITER WATER.
atack sucking pest,spray acephate 30gm + supar confidor 6ml / 15 liter of water for controlling sucking pest on cotton
cooton white fly,Spray Ullala 8 gm + M-45 = 30 GRAM /15 Lit of Water(flonicamid)-UPL
borer attak,BORER ATTAK ON COTTON ==-Spray Quinalphos (20 % AF) 22 ml+Profex super 30 ml/15 liter of water
attck catterpirs,ATTCK OF CATTERPIRS ON COTTON==-Spray Quinalphos (25 % EC)15 ml/ l5 liter of water
leaf eating caterpillrs,COTTON LEAF EATING CATERPILLRS=-Spray Quinalphos (20 % AF) 22 ml+KARATE 10 MILLI + M-45 30 GRAM /15 liter of water
askwed leaf eating catterpillres,Spray Profex super 30 ml+ M-45 30 GRAM + MICROLLA 30 MILLI (Profenofos+ Cypermethrin)-Nagarjuna //15 liter of water
caterpillar thrips aphids,Spray Ullala 8 gm+Tata mida10 ml /15 Lit of Water.(flonicamid)-UPL
reding leaves,REDING OF LEAVES ON COTTON==SPRAY MAGNESIUM SULPHATE 80 GM + UREA 100 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
wilting,urea 150 gm +potash 150 gm +blue copper 30 gm /15 lit
jawar fertilizer doses,apply phorate-10 kilo /acre
pashusavrdhan tollfree number,WEATHER INFORMATION?Cloudy weather Possibility of High to Medium Rainfall
baout caterpillar,Spray Rogar 15ml/15 Liter of Water(Dimethoate)-Cheminova
bollworms,spray misile 7gm / 15 lit of water
sucking pesat reddning,SPRAY MAGNESIUM SULPHATE 60 GM + 00:52:34 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
rednig,mg sulphate 100 gm + urea 200 gm + zn sulphate 20 gm / 15 litar water
mistackaly sprayin weedicide,Taba tonic 30ml/ pump.
askede thjrips,Spray Regent 30 ml + M-45 -30 GGRAM /15 liter water(Fipronil 5 SC)-Bayer
growth purpose,spray 0:52:34  60gm + microlla 30 ml + planofix 5ml / 15 lit of water
blight attackk,BLIGHT ATTACKK ON COTTON==-Spray Kavach  25 gm + KARATE 25 MILLI +      /15 Liter of Water(Chlorothalonil)-Syngenta
asksed red bug,attack of red cotton bug - spray melathion 1 ml / 1 liter water
white fly aphids thrips,"for control of white fly , aphids , thrips on cotton - Spray Tata manik 7 gm +  Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer"
farmer flower drop farmer flowering thrips,SPRAY PLANO 3 ML /15 LITER WATER.Spray Boom flower 20ml/15lit of Water.Spray rejent 15 ml/15 liter water.
farmer root rot infection,for control of root rot dreching bavistin 30 gms+ humic acid 30 ml in 15 liter of water.
leaf eating catterpilrs,LEAF EATING CATTERPILRS ON COTTON =-Spray Profex super 10 ml + ULLALA 10 MILLI + M-45 30 GRAM /15 liter of water(Profenofos+ Cypermethrin)-Nagarjuna
white kly,Spray Ullala 8 gm/15 Lit of Water(flonicamid)-UPL
caterpillrs,CATERPILLRS ATTACK ON COTTON==-Spray Quinalphos (25 % EC)15 ml Profex super 10 ml/ l5 liter of water
sucking pest reddning,SPRAY MAGNESIUM SULPHATE 60 GM + 00:52:34 60 gm +bavistin 30 gm / 15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
redding,spray rijent 30 mili+ magnesium sulphate /pamp water
catterpills,Spray Quinalphos (20 % AF) 22 ml +-m-45 30 gram /15 liter of water
blomming,BLOMMING OF COTTON = Spray Boom flower 20ml(DeviCropscience)/15 liter of Water.
fertilizer dose growth,fertilizer dose for growth - spray 0:52:34  60gm + microlla 30ml / 15lit of water
fofr red leaf,Spray 80gram magneshium sulphate+zn sulphate 20gram +100 gram urea  in 15 lit water
aske aphids thrips jassids,"Attack of Aphids,Thrips and Jassids on cotton-Spray Regent 30 ml /15 liter water(Fipronil 5 SC)-Bayer"
farmer thrips,thrips on cotton = Spray Ullala 10 gm/15 Lit of Water.
caterpillar tur,attack of Caterpillar  on tur- Spray Quinolphos 30 ml/15 liter of water.
soyabean leaf eating catter pilrs,SOYABEAN LEAF EATING CATTER PILRS=-Spray Quinalphos (20 % AF) 22 ml/15 liter of water
blight sucking pest,for control  of blight and sucking pest  on cotton -Redomil Gold 30 GM +  Admire  5 gm /15 ???? ??????? ????? ?????? ?????.­­­.
sucking pest blight,Spray super bavistin 30 gm + confidor 10 ml /15 liter of water.
white fly reddning,SPRAY MAGNESIUM SULPHATE 75 GM + Spray Oberon 15ml/15 Liter of Water
stem borer attak,STEM BORER ATTAK ON COTTON =-Spray Quinalphos (20 % AF) 22 ml + M-45 30 GRAM /15 liter of water
dropping balls,SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER.
blight cotto,Spray Kavach  25 gm + KARATE 25 MILLI /15 Liter of Water(Chlorothalonil)-Syngenta
blight cottn,BLIGHT ATTACK ON COTTN-Spray Karate20ml+ REDOMIL GOLD 30 GRAM /15 Liter of Water(Lambda 5 SC)-Syngenta
thrips onion,Spray profenophos 30 ml/ 15 liter of water
fruit drop,SPRAY PLANOFIX 4 ML(Bayer) /15 LITER WATER
alternaria,Spray SAAF  30 gm/15 Liter of Water(Carbendazim 12%+Mancozeb 63%)-UPL
powdary growth,attack of powdary growth on cotton - Spray Antracol  30 gm/15 Liter of Water(Propineb)-Bayer
aboutb sucking pest,for control of sucking pest on cotton -Spray Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
thrips jassid thrps,Spray Karate20ml + M-45 30 GRAM /15 Liter of Water(Lambda 5 SC)-Syngenta
spray boom flower cottn,Spray Boom flower 20ml(DeviCropscience)/15 liter of Water.
atack thips,Spray Oberon 15 ml +M-45 -30 GRAM + /15 Liter of Water(spiromesifen 20.9%)-Bayer
od sucking pest,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
white fly bollworms,spray misile 7gm + pride 10gm / 15 lit of water
farmer blight,Spray Kavach  25 gm + MICROLLA 30 MILLI + KARATE 30 MILLI /15 Liter of Water(Chlorothalonil)-Syngenta
spry reduce extra growth,liosin 15 mili/15 lit
fertilizer spray growth thrips,spray bio-303(daman)  22.50ml / 15 lit of water
farmer white flies,attack of white flies on cotton= spray (bio 303) 2 ml/liter
attak thrips,THRIPS ON COTTON- Spray Ullala 8 gm M-45 30 GRAM /15 Lit of Water(flonicamid)-UPL
aske die,bavistin  30 gm/15 Lit of Water Drenching.
folwer,SPRAY PLANOFIX 5 ML(Bayer)+ 00:52:34 60 GM/15 LITER WATER
vigorus groth,VIGORUS GROTH OF COTTON= MICROLLA 30 MILLI + 19;19;19;=50 GRAM + MGNESIUM SULPHATE =50 / SPRAY IN 15 LITER OF WATER.
balls dropping,SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER.
attck thrips,ATTCK OF THRIPS ON COTTON -Spray Actra 5 gm + SAF 30 GRAM /15 Liter of Water(Thiomithoxom 25%)-Syngenta
askin g aphids thrips jassids,Spray  - Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
thrips fertilizer dose growth caterpillar,Spray Actra 5 gm/15 Lit of Water.19:19:19-60 gram  microla -30 mili / 15 liter water spray Quinolphos 30 ml in 15 liter wate
drying,drench bavistin 2gm/ liter of water.
leaf falling,Spray Plano fix 5ml/15 Lit of Water.
thrips attackk,Spray Pegasus 25 gm+ M-45 30 GRAM / 15 liter of water(Diafenthiuron)Syngenta
reddning fungus leaves,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
askedm thrips atatck,THRIPS ATATCK ON COTTON=- Spray Karate20ml + M-45 -30 GRAM /15 Liter of Water(Lambda 5 SC)-Syngenta
redding leaves cotto,MAGNESIUM SULFHATE 80 GRAM + UREA 80 GRAM / SPRAY IN 15 LITER OF WATER.
whitefly yellowing,Spray Ullala 8 gm/15 Lit of Water.
thrips white fly stop extra growth,Spray Actra 5 gm/15 Lit of Water.Spray Leocine 7 ml /15 liter of water.
abpout white fly thrips,for control of white fly and thrips on cotton - Spray Admire 5 gm + Record  07 gm /15 Liter of Water (Imida 70 wp)-Bayer
catterpillars,Spray Profex super 30 ml+M-45 30 GRAM /15 liter of water+ (Profenofos+ Cypermethrin)-Nagarjuna
blight wilton,Spray - Score  8 ml/15 Liter of Water(Difenconyazol 25%EC)-Syngenta
thripsa ttack,confidor 10 ml /super confidor 10 ml /15 litar water
aske thrips,Spray super confidor 10 ml+ M-45-30 GRAM  /15 liter water(Imida 17.8 sl)-Bayer
bollworm sucking pest,for control of bollworm and sucking pest on cotton -Spray Profenophos 20 ml + Regent 30 ml //15 liter of water.
farmer root rot,For control of root rot in cotton = drenching of bavistin 30 gms + humic acid 30 ml in 15 liter of water.
sowingtime,cotton sowingtime :june-july month.
larvae,Suggested: Quinalphos 25 EC 30 ml/pump spray
marke rate,suggested 18001028767
sowing time,suggest:june- july for it
wire fencing subcidi,wire fencing subcidi :no govt. subcidi.
larva problem,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
heliothese pink ball warm,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
fungus problem root,Suggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
abt variety,gujarat cotton hybrids-8
fungus problem,Suggested: Mancozeb (M-45) 75% W.P. 35 gram/pump spray
general,Suggested: All information provided - Thanks for calling in kisaan call center
market bazar,suggested 18001028767
rajko heliothis,quinalphos 30 ml.per pump and to spray.
sowing,"SUGG TO FYM ,DAP ,POTASH,MEGNESIYAM,MAYKO NYUTRIYANT  FERTILIZER  USE"
problem,Suggest: Blue copper 40 gm./pump
mealybug problem,suggest: sprey tryzophose 25 ml/pump
larvae problem,suggest:cypermethrin 10 ml. per 10 liter water and to spray. suggest:quinalphose 30 ml per pump and to sprey
larva,I suggested to spray quanalphos 30 ml/pump
flower dropping problem,I suggested to spray boomflower 25 ml./pump.
molo,sugg to rogar 30 mili/pamp spre
mite,sugg to daycophol 30 mili /pamp spre
leaf red colour,I suggested mg so4 sprey 35 gm/pump and thimethoxam 5 gm/pump sprey
red leaf problem,Suggested: Magnesium sulphate 100 gm/pump spray
thrips problem,I suggested rogar 20ml or thimethoxam 5 gm pump sprey
pink boll warm,suggest:to trizophos +deltamethrin 600 ml/acre and 25 ml /pump
mealy bug informaiton,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
heliothese pink ball warm cottonsuggested,Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
termite nematod white grub,Suggested: Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
wilt gnut,I suggested blue copper 40 gram in 1 pump
dry,I suggested crop insurance give and contact near bank
leaf spot problem,To spray mancozeb 35 gram per pump.
flower setting problem,I suggested boomflower 20-25ml/pump
red mite infestation,suggest:ethiyon 15 ml/pump sprey
tarmite,sugg to Chlorpyriphos 60  ml / 15 lit water
flowering problem,suggest:boom flower 20 ml/pump sprey for flower drop
termite,suggest:chloropyriphose 25 ml/pump
jasside,sugg to 1 gm streptocylin  + 20 gm blue copper (copper oxychoride) + 15 liter water
groundut chlorosis,suggest:hirakashi powder 100 gm+leman flower 10 gm/pump sprey
drop problem,Suggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
weed,Suggested: Do not use any kind of weedicide after germination of crop
requested stop kissan messagessuggested type kisaanstop send type kisaanstop send general informationsuggested provided thanks calling kisaan call center general,Suggested: All information provided - Thanks for calling in kisaan call center
issue,Suggest: Blue copper 40 gm/pump
milibag,Traizophos 20 ml / 10 lit water
melybug problem,suggest:to tryziphos 25 ml/pump spray
redmite problem,I suggested to spray daykofol 30 ml./pump.
leaf blight,I suggested mancozeb 25 gram + streptocyclin 1 gm /pump
mealy bug problem,I suggested prophenophos 35 ml/pump
mite redmite ant,Suggested: Dicofol 18.5 EC 25 ml/pump spray
angular leaf spot,1 gm streptocylin  + 20  gm blue copper (copper oxychoride) + 15 liter water
termite nematode white grub,Suggested: Phorate 10 G 2 kg/vigha
yellowing fertilizer dose,Suggested: 19-19-19 fertilizer 100 gm/pump spray
fal mate,sugg to boom flower 30 mili/pamp spre
angular,suggest:streptocyclin 6 gm+blue coper 50 gm/100 lit water
general informationsuggested,all information provide  thanks for calling in kisaan call center
sucking insect,suggest: imidachloropride 5 ml/pumpsuggest: monocrotophose 25 ml+aecifet 15 gm/pump
increase flower initiation,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spray
sucking pests problem young crops,Suggested: Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for
engular leaf spot,1 gm streptocylin  + 20 gm blue copper (copper oxychoride) + 15 liter water
leaf become red colour,I suggested to spray magnesium sulfet 100 gram per pump.
fungus problem root wilt,Suggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
pink bollwolm,sugg to i suggested spray quinalphos  30  ml / pamp
pinkbollworm,I suggested to quanalphos 25-30 ml/pump
form larvae problem,suggest: corazen 5 ml per pump and to sprey
pinkboll worm,sugg to thayodikarb 75 wp 45 gram/pamp spre
pink bollwarm,suggested for the 8-10 pheroman trap per hacter
termites,I suggested to give chloropyriphos 4 lit/ha with irrigation  termites in cotton
red mite problem,suggest: ethiyon 15 ml/pump spreysuggest: dicofol 10 ml/pump sprey
sucking pest problem,suggest: imidachloropride 5 ml/pumpsuggest: monocrotophose 25 ml+aecifet 15 gm/pump
aphide problem,I suggested to spray rogar 20 ml per pump.
irriganation,I suggested irrigation provide 8-9days interval in evening time
pink boll warm problem,I suggested to spray neem oil 100 gram and detergent powder 10 gram /pump.
phool droping,suggest:sprey NAA 2 ml/pump
dusting pests insects,Suggested: Methyl Parathion 2% dusting 5 kg/vigha
type larva,I suggested pheroman trap 2 trap/bigha and prophenophos 40 ml/pump or acetamiprid 12 gram
bt powder,I suggested to information about powder
pink bollworm problem,I suggested pheroman trap 2-3 and chlorocyper sprey
wilt problem,To drenching blue copper 40 gram per pump.
cumin thirps,sugg to fipronil 30 ml/pump spray
urea application,Suggest: 60-70ml/pump spray urea
pink ball worm yhe,I suggested to spraythe quinalphos 20 mili in 10 litre of water
whitefly problem,suggest: prophenophose 25 ml/pump spreysuggest: phosphamidon 15 ml/pump sprey
aboutin cumin thirps,suggetsed propenpfos 30 ml pere pump
sucking pest comtrol,suggest: imidachloropride 5 ml/pumpsuggest: monocrotophose 25 ml+aecifet 15 gm/pump
removal amarvel,SUGGESTED FOR THE HAND WIDDING
root wilt,I suggested ti mancozeb
mealey bug,sugg to prophenopho 30 mili or  azadiretin 50 ml + 1 spoon diterjant powder spre
mealy bug larvae,Suggested: Profenofos 50% EC 25 ml/pump spraySuggested: Coragen 18.5 SC 5ml/pump spray [ final solution ]
human right contact number,I suggested 1800 233 0222 grahak shurksha toll free no.
heliothese pink ball warm cottonsuggested install pharomon trap vigha spray ddvp ml quinalphos ml pump flowering stage,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
pink bollwormsuggested,Deltamethrin 1% EC+ Triazophos 39% EC 25 ml/pump spray
sucking pests problem cropask sucking pests problem,Suggested: Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]
larva sucking pest,I suggested to propheno + cyper 20 ml/pump
mealy bug problem thrips problem,suggest: sprey tryzophose 25 ml/pumpsuggest: monocrotophose 25 ml+aecifet 15 gm/pump
mealy bug variety,suggest: sprey tryzophose 25 ml/pump
mily bug,I suggested trizofos 25 mili in 1 pump with 1 spoon ditergent
white fly prolem,suggest: prophenophose 25 ml/pump spreysuggest: monocrotophose 25 ml+aecifet 15 gm/pump
problem groundnut,suggest: 2 lit chloropyriphose+50 kg sand/hasuggest: chloropyriphose 25 ml+cypermethrin 15 ml/pump
askabout sucking pest,suggest:sprey tryzophose 25 ml/pump
groundnut root rot,suggest: drenching with 40gm blue copper/pump
fro problem,suggest:monocrotophose 25 ml+aecifet 15 gm/pumpsuggest:prophenophose 25 ml/pump sprey
rain,no rain in next few days
generel,Suggested: All information provided - Thanks for calling in kisaan call center
root fungus problem,Suggest:carbendenzim 50% w.p 30 gm/pump drenching  OR 250 gram/vigha water treatment
sucking larva pest,I suggested to spray propheno + cyper 15-20 ml/pump
problem spider mite,"Suggest: Dichofol 18.5 EC 10ml, Ethion 50 EC 10 ml, Sulphur 50% WP mix in 10 litre water and spray"
larava,I SUGGESTED TO SPRAY QUINALPHOS 20 ML/PUMP FOR CONTROL FOR  LARAVA IN COTTON
white fly thee,I SUGGESTED MINICROTOFOS 25 MILI IN 10 LITR EOF WATER
feromen trap,I suggested to information about the feromen trap
application cow waste,Suggest: 40-50ml/ pump (Cow wastage)
heliothis problem,I suggested to spray quinalphos 30 ml./pump.
thirpd,sugg to fipronil 30 mili/pamp spre
abt reddish leaves,suggested 100 gm urea /pump spray
leaves reddish,SUGGESTED APPLY UREA 100 GM/PUMP SPRAY.
red thrips,I suggested prophenophos 30 ml/pump sprey
rainfall,sugg to rainfall
thripse,suggested for fipronil 20ml per pump
application npk,I suggested to spray 19:19:19 100gm/pump
groundnut leaf yellow chlorosis problem,Suggested: 100 gm hirakashi powder (FeSo4) + 10 gm limbu na ful (Cytric Acid) / pump spray
suckling pest,i suggested to spray trizophos 25 ml/pump for suckling pest in cotton
mealyybug,I suggested to sprey prophenophos 30 ml/pump
flowering dropping,I suggested to spray boomflower 20-25 ml/pump
heliothese pink ball warm cottonsuggested install pharomon trap vigha spray ddvp ml quinalphos ml pump flowering stage heliothese pink ball warm cottonsuggested install pharomon trap vigha spray ddvp ml quinalphos ml pump flowering stage heliothese pink ball warm,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
egg problem,Suggest: Tricho Card apply in the field
yello,I suggested to spray humic acid
pink ball worm,I suggested quinalfos 20 moili in 10 litre of water
pink ball warm,SUGGESTED PHEROMAN TRAP 8-10 PER HACTER
spider mite pan kathiri,"Dichofol 18.5 EC 10ml, Ethion 50 EC 10 ml,"
trhips problem,suggest: imidachloropride 5 ml/pumpsuggest: monocrotophose 25 ml+aecifet 15 gm/pump
termite mealy bug,suggest:fipronil 25 ml/pump spreysuggest:sprey tryzophose 25 ml/pump
pod,SUGGESTED FOR WEATHER EFFECT
phool kharva,sugg to boom flower 30 ml/pamp sprey
thrip sucking pest,I suggested trizophos 25 ml/pump sprey
