Season,Sector,Category,Crop,QueryType,Query,Answer,State,District,Block,DateTime
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack of blight,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf,MAHARASHTRA,DHULE,DHULE,2016-07-15 15:13:10.957
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about tonic wilt in cotton,spray Bavistane 30 gm+ 19:19:19 60 gm + microlla  30 ml + humic acid 30 ml / 15 liter of water,MAHARASHTRA,DHULE,DHULE,2016-07-15 17:21:41.167
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about thrips ?,spray of confidor 10 ml /super confidor 10 ml /15 litar water .,MAHARASHTRA,DHULE,SHINDKHEDE,2016-07-21 16:50:57.700
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about thrips?,for thrips - Spray Ullala 8 gm/15 Lit of Water.Redning in cottonSPRAY MAGNESIUM SULPHATE 30 GM + DAP 300 GM/15 LITER WATER,MAHARASHTRA,DHULE,DHULE,2016-07-23 16:02:28.433
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of thrips on cotton & chilli  ?,COTTON-Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-BayerCHILLI-Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,MAHARASHTRA,DHULE,DHULE,2016-07-27 08:04:39.230
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,red leaves in cotton crop !,spray magnesium salphe 50gm + uria 10gm /15liter water,MAHARASHTRA,JALGAON,CHALISGAON,2015-07-01 14:28:23.630
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for cotton deficieny of red leaf.,MAGNESIUM SULPHATE 5 GM+UREA 2 GM// 1 LIT. WATER.,MAHARASHTRA,JALGAON,CHALISGAON,2015-07-01 17:47:15.210
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asking about fertiliser dose,APPLICATION OF 10:26:26 2 BAG + UREA 20 KG + MICRO NUTRIENTS 10 KG/ACRE,MAHARASHTRA,JALGAON,AMALNER,2015-07-07 08:10:50.240
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asking about whitefly on cotton ?,Spray Record 10 gm or Pride 10 gm / 15 lit of water,MAHARASHTRA,JALGAON,JALGAON,2015-07-09 16:56:42.300
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,plant protection,spraying of 19:19:19 + microla + m -45,MAHARASHTRA,JALGAON,PACHORA,2015-07-09 17:00:16.853
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton virulent infection ?,Nimboli Ark + Arena Chocolate + Confider Super,MAHARASHTRA,JALGAON,CHOPDA,2015-07-10 14:18:53.440
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton spray for white fly ?,Spray Confidor super / Confidor 10 ml/15 Lit of Water.,MAHARASHTRA,JALGAON,DHARANGAON,2015-07-10 14:49:51.807
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton spray for sucking pest ?,Niboli Ark 4% + MOno + Confider Super,MAHARASHTRA,JALGAON,DHARANGAON,2015-07-10 15:51:50.577
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,grey mildew on cotton crop ?,SPRAY ANTRACOL 30 GM / 15 LITRE OF WATER,MAHARASHTRA,JALGAON,DHARANGAON,2015-07-12 10:05:31.580
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,caterpilaer attack on cotton ?,Spray Coragen 5ml/15 Lit of Water.,MAHARASHTRA,JALGAON,JAMNER,2015-07-13 12:05:44.043
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,wilting attack on cotton?,Redomil Gold 30gm +humic acid 30 ml 19:19:19 30gm /15 Lit of Water Drenching.,MAHARASHTRA,JALGAON,AMALNER,2015-07-22 10:55:07.787
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for cotton afhids attack - ?,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer,MAHARASHTRA,JALGAON,ERANDOL,2015-07-23 13:07:28.140
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about fertilizer dose,12:61:00 3 kg/ acre/ week + cloropyrivos or bavistin 400 gm/ acre,MAHARASHTRA,JALGAON,PACHORA,2015-07-23 16:38:02.210
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,to crease flower rate ?,Spray Boom flower 25ml,MAHARASHTRA,JALGAON,CHOPDA,2015-07-27 08:49:06.217
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,"asked about cotton aphids , sucking pest attack ?",Spray Metador 25 ml / 15 lit of water,MAHARASHTRA,JALGAON,PACHORA,2015-07-28 08:29:34.730
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,to increase flower rate  cotton ?,Spray Boom flower 20ml/15lit of Water.,MAHARASHTRA,JALGAON,AMALNER,2015-07-28 10:16:48.050
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for prentive dose for cotton -,ROGOR 20 ML+ MICROLLA 40 ML + M-45 -30 GM/ 15 LIT. WATER,MAHARASHTRA,JALGAON,PACHORA,2015-07-28 13:31:33.503
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack of caterpillar on cotton?,SPRAY PROFEX SUPAR 30ML/15 LITER WATER,MAHARASHTRA,JALGAON,JAMNER,2016-07-02 15:03:20.563
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton - blight---,COTTON - BLIGHT---Spray Bavistine 30gm/15lit of Water.,MAHARASHTRA,JALGAON,CHOPDA,2016-07-04 18:04:03.273
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,reddening in cotton?,APPLICATION OF MAGNSIUM SULPHATE 10KG/ACRE,MAHARASHTRA,JALGAON,CHALISGAON,2016-07-06 09:32:55.480
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of  wilt in cotton,Bavistane 30 gm+humic Acid 30 ml(Mephonaxon+mancozeb)syngnt,MAHARASHTRA,JALGAON,PAROLA,2016-07-12 17:09:58.130
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for thrips attack on cotton ?,Spray Kavach 25 gm/15 Liter of Water (Chlorothalonil)-Syngenta.,MAHARASHTRA,JALGAON,CHALISGAON,2016-07-15 10:25:19.570
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of sucking pest attack in cotton,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer,MAHARASHTRA,JALGAON,PACHORA,2016-07-18 14:45:28.253
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of  blight?,Spray Saaf 15 gm/15 Liter of Water.,MAHARASHTRA,JALGAON,RAVER,2016-07-20 11:14:01.700
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,stem borer attack on cotton?,SPRAY NUWAN 20 ML./15 LITER WATER,MAHARASHTRA,JALGAON,BODWAD,2016-07-24 11:10:12.577
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,jassids on cotton?monocrotophos 1 mili/liter,monocrotophos 1 mili/liter,MAHARASHTRA,JALGAON,YAWAL,2016-07-24 18:37:16.697
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of thrips and jassids? in cotton,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,MAHARASHTRA,JALGAON,JALGAON,2016-07-25 06:44:58.740
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,fungi on cotton,fungi on cotton - BAVISTIN 30 GM + MICROLA 30 ML /15 LITER WATER SPRAY,MAHARASHTRA,JALGAON,JAMNER,2016-07-30 08:10:32.047
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,bollworm control in cotton crop?,you can spray profex super 40 mili /pamp water use for bollworm control,MAHARASHTRA,JALGAON,RAVER,2016-07-31 11:13:28.590
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack  of white fly attack?,Spray Confidor super / Confidor 10ml/15 Lit of Water.,MAHARASHTRA,AHMADNAGAR,SHEVGAON,2015-07-04 14:46:10.390
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of sucking pest,confidor 10 ml /super confidor 10 ml /15 litar water,MAHARASHTRA,AHMADNAGAR,RAHURI,2015-07-05 10:25:36.280
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked information about cotton - fertilizer for growth,cotton - fertilizer for growth 20% boron,MAHARASHTRA,AHMADNAGAR,PARNER,2015-07-09 07:43:40.900
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack of sucking pest ?,Spray Confidor super / Confidor 10ml/15 Lit of Water.,MAHARASHTRA,AHMADNAGAR,NEVASA,2015-07-11 18:59:16.803
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,askeda about harbicides,usetargasuper  60 mili per 15 liter water,MAHARASHTRA,AHMADNAGAR,SANGAMNER,2015-07-16 12:50:12.893
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,plant protection ?,spraying of 19:19:19 + microla,MAHARASHTRA,AHMADNAGAR,SHRIGONDA,2015-07-27 15:08:30.543
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,wilting of cotton due to fungal attack on roots ?,DRENCHING OF BLUE COPPER 30 GM +MICROLLA 30 ML +HUMIC ACID 30 ML / 15 LITRES OF WATER,MAHARASHTRA,AHMADNAGAR,PATHARDI,2016-07-01 11:47:17.550
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,thrips on cototn,SPRAY REGENT 2 MILI/LITRE,MAHARASHTRA,AHMADNAGAR,NEVASA,2016-07-02 21:08:26.260
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack of cut worm?,drenching  Chloropyriphos 30ml/15 Liter of Water application of thimet-0.5 kg / ekar,MAHARASHTRA,AHMADNAGAR,JAMKHED,2016-07-08 16:42:23.987
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,control on wilt in cotton  ?,alliate  @30  gram .pamp  spray on cotton  .,MAHARASHTRA,AHMADNAGAR,NEVASA,2016-07-10 14:09:56.060
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,spray for cotton growth ?,spray Bavistan 30 gm+ 19:19:19 60 gm + microlla  30 ml  / 15 liter of water,MAHARASHTRA,AHMADNAGAR,KARJAT,2016-07-17 14:48:22.397
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked attack of sucking pest on cotton ?,Spray Bavistane 30 gm +  super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer,MAHARASHTRA,AHMADNAGAR,SHEVGAON,2016-07-19 18:16:08.557
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of caterpillar on  cotton ?,for conrol of Caterpillar on  cotton-Spray Proclaim 5gm/15lit of Water.,MAHARASHTRA,AHMADNAGAR,SHEVGAON,2016-07-20 16:09:10.987
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of thrips in cotton ?,thrips in cotton=super confidor 10 ml /15 litar water,MAHARASHTRA,AHMADNAGAR,PATHARDI,2016-07-23 15:43:48.983
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about aphid on cotton?,aphid on cotton -spray  confidor 10 ml / 15 liter water,MAHARASHTRA,AHMADNAGAR,NEVASA,2016-07-29 21:02:49.353
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,wilt (mar)drenching in cotton ?,Redomil Gold 30 gm+humic Acid 30 ml(Mephonaxon+mancozeb)syngnt,MAHARASHTRA,SANGLI,JATH,2016-07-12 20:32:19.703
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,leaf miner-nag ali attack?,Polytrin c -35 15ml/15 Lit of Water.,MAHARASHTRA,SOLAPUR,BARSHI,2015-07-08 15:47:27.590
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,farmer requested to give current status of weather,CLOUDEY WEATHER AND  POSSIBILITY OF LIGHT RAIN,MAHARASHTRA,SOLAPUR,BARSHI,2015-07-17 10:47:20.357
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about chilli caterpillar attack ?,Spray Profex Super 30 ml / 15 lit of water.,MAHARASHTRA,SOLAPUR,BARSHI,2015-07-24 09:35:07.920
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,flower drops of cotton?,Spray Plano fix 5ml/15 Lit of Water.,MAHARASHTRA,SOLAPUR,MADHA,2015-07-30 14:23:35.857
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of trips?,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer,MAHARASHTRA,SOLAPUR,BARSHI,2016-07-25 10:00:42.477
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,pest &  disease management  ?,spray on   bavistin @30 gram  + karate  15  mili /pamp spray on crop.,MAHARASHTRA,KOLHAPUR,CHANDGAD,2016-07-12 09:29:27.563
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,fertiliser dose in cotton crop?,2 bag 10:26:26 + 0.5 bag urea / acer,MAHARASHTRA,AURANGABAD,SOEGAON,2015-07-01 13:08:15.710
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asking about fungal infection on cotton ?,you can spray regent 30 mili +actra 5 gram/pamp waterapply 5 kilo 19 19 00 / acre / week through drip? ???? ?? ?? ?? ?? ??? ???? ?? / ??? / ????? ????,MAHARASHTRA,AURANGABAD,KANAND,2015-07-01 14:46:10.167
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,ask about white fly attack on cotton ?,Spray Pegasus 25 gm/ 15 lit of water,MAHARASHTRA,AURANGABAD,KANAND,2015-07-01 16:18:43.470
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,leaf curl on okra,LEAF CURL ON okra =Spray ADMIRE 5 GM + Bavistine 30gm/15lit of Water.,MAHARASHTRA,AURANGABAD,KANAND,2015-07-01 21:25:49.160
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked information about cotton - attack of stem borer,Phorate 3kg/Acre Application.,MAHARASHTRA,AURANGABAD,PAITHAN,2015-07-02 09:13:00.943
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of reddning in cotton----,ATTACK OF REDDNING IN COTTON----SPRAY UREA - 200 GRAM + MgSO4 -- 100 GRAM IN  15 LIT OF WATER,MAHARASHTRA,AURANGABAD,SILLOD,2015-07-03 11:10:11.340
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about fertilizer dose for cotton,APPLICATION OF 10:26:26 2 BAG + UREA 20 KG + MICRO NUTRIENTS 10 KG/ACRE,MAHARASHTRA,AURANGABAD,PAITHAN,2015-07-05 10:57:05.740
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked information about cotton - attack of sucking pest,Spray Actra 5 gm/15 Lit of Water.,MAHARASHTRA,AURANGABAD,KHULTABAD,2015-07-11 10:00:06.247
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of sucking pest?attack of thrips?attack of white fly?attack of jassids/leaf hoppers?,Spray rejent 15 ml/15 liter water.Spray Jump 15 ml/15 liter water.,MAHARASHTRA,AURANGABAD,KHULTABAD,2015-07-11 18:26:25.793
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,farmer has requested to start sms service regarding agricultural crop information on his mobile,THE SERVICE HAS BEEN STARTED ON HIS MOBILE,MAHARASHTRA,AURANGABAD,PAITHAN,2015-07-11 19:37:24.337
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about leaf minor ?,Spray Azadirictine 30 ml/15 Lit of Water,MAHARASHTRA,AURANGABAD,PHULAMBRI,2015-07-13 17:33:24.813
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,caterpiller on cotton?,spray quinolphos 30 mili / 15 litre water,MAHARASHTRA,AURANGABAD,KANAND,2015-07-15 08:25:53.770
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,white fly attack? thrips attack?,Spray Actra 5 gm+ redomil gold 30 gm /15 Lit of Water,MAHARASHTRA,AURANGABAD,AURANGABAD,2015-07-15 14:33:33.493
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of shoot boror in cotton ?,spray nuvan 15 ml + M-45 30 gm / 15 liter of water for cotton,MAHARASHTRA,AURANGABAD,PAITHAN,2015-07-15 15:31:51.283
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of moth?,Spray melathion 25  mili + nimboli ark 25 ml /15 lit of Water.,MAHARASHTRA,AURANGABAD,AURANGABAD,2015-07-18 17:38:16.800
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for cotton  catterpillar-?,M-45 =30 GM+ MICROLLA 50 ML +Spary profex super 30 ml / 15 liter of water.,MAHARASHTRA,AURANGABAD,KANAND,2015-07-20 17:21:30.793
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of white grub,Spray Metador 25 ml / 15 lit of water,MAHARASHTRA,AURANGABAD,AURANGABAD,2015-07-21 13:21:50.350
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about fertilizer dose for cotton?,APPLY 19:19:19 @ 3 KG + UREA 5 KG / ACRE.,MAHARASHTRA,AURANGABAD,SILLOD,2015-07-22 16:43:31.197
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked information about flower drop in cotton,Spray Plano fix 5ml/15 Lit of Water.,MAHARASHTRA,AURANGABAD,GANGAPUR,2015-07-24 06:33:11.660
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,leaf drop in cotton ?,SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER,MAHARASHTRA,AURANGABAD,PAITHAN,2015-07-24 08:59:14.380
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked cotton leaves downy-?,MICROLLA 50 ML+KARATE 30 ML +Blue copper -40 gm +  humic acid 30 ml /15 lit water.,MAHARASHTRA,AURANGABAD,KANAND,2015-07-26 14:44:17.680
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for cotton apifhids attack-?,COTTON APIFHIDS ATTACK=Spray Clasic 20 10ml/15 Lit of Water.,MAHARASHTRA,AURANGABAD,GANGAPUR,2015-07-26 15:49:45.420
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about mealy bugs attack on cotton?,Spray Admire 5gm+ Nuwan 15ml+ Bavistin 30 gm+ Sticker 10ml/ 15 liter water,MAHARASHTRA,AURANGABAD,PHULAMBRI,2015-07-27 09:31:08.747
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,fetilizer dose for cotton?,Spray Plano 5ml+ 00:52:34 60 GM /15 Lit of Water.,MAHARASHTRA,AURANGABAD,SOEGAON,2015-07-27 12:49:00.630
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,white fly ?,WHITE FLY ?Bavistine 30g+PEGASUS 25 ml / 15 lit of water,MAHARASHTRA,AURANGABAD,GANGAPUR,2015-07-27 19:11:10.733
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of caterpillar?,Spray profex super 30 ml / 15 lit of water,MAHARASHTRA,AURANGABAD,AURANGABAD,2015-07-28 14:40:22.320
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about sucking pest spraying in cotton,spray nim ark 30ml/ 15 liter of water,MAHARASHTRA,AURANGABAD,VAIJAPUR,2015-07-28 17:21:40.937
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,"asked for thirps , attack on cotton-?",Spray Actra 5 gm + m 45 30 gm + microlla 30 ml/15 Lit of,MAHARASHTRA,AURANGABAD,PAITHAN,2015-07-29 12:37:44.677
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked information about cotton - attack of caterpillar,spray trizophos 30ml /15 lit of water,MAHARASHTRA,AURANGABAD,GANGAPUR,2015-07-30 07:48:32.770
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,yellowing of cotton leaves,YELLOWING OF COTTON LEAVES  - BAVISTIN 30 GM ./15 LITER WATER SPRAY,MAHARASHTRA,AURANGABAD,KANAND,2015-07-31 06:22:33.830
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for ahids attack on cotton ?,Spray Pegasus 25 gm + M-45-30 GRAM / 15 liter of water(Diafenthiuron)Syngenta,MAHARASHTRA,AURANGABAD,AURANGABAD,2016-07-03 12:09:55.243
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,weedicide side effect on cotton?,WEEDICIDE SIDE EFFECT ON COTTON--SPRAY TAABA,MAHARASHTRA,AURANGABAD,SOEGAON,2016-07-05 12:27:03.330
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of aphids on  cotton?,Spray super confidor 6 ml /15 liter of water(Imida 17.8 sl)-Bayer,MAHARASHTRA,AURANGABAD,PAITHAN,2016-07-07 11:13:19.273
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,leaf eating caterpillar on cotton ?,Spary Dimethoate 1.5 ml /1 liter water,MAHARASHTRA,AURANGABAD,KANAND,2016-07-09 16:44:52.877
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,sucking pest on cotton-----,sucking pest on cotton-----Spray Actra 5 gm/15 Lit of Water.,MAHARASHTRA,AURANGABAD,PAITHAN,2016-07-11 13:16:49.387
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of   blight ?,Spray Bavistane 20 gm/ 15 Liter of Water(Carbandazin) .,MAHARASHTRA,AURANGABAD,VAIJAPUR,2016-07-12 15:49:14.790
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,spray for cotton white fly ?,Spray Actra 5 gm + 19:19:19 60 gm + microlla  30 ml + humic acid 30 ml / 15 liter of water,MAHARASHTRA,AURANGABAD,PAITHAN,2016-07-15 20:26:45.980
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about leaf borrer in soyabean ?,spray of cloropyariphos @ 30ml / 15 lit . of water .,MAHARASHTRA,AURANGABAD,GANGAPUR,2016-07-16 18:51:47.770
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,wilting of cotton plants ?,DRENCHING BAVISTIN 15 GM + HUMIC ACID 30 ML + 12;61;0 75 GM / 15 LITTER OF WATER FOR CONTROLLING WILT IN COTTON,MAHARASHTRA,AURANGABAD,VAIJAPUR,2016-07-17 15:42:17.237
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack of white grub?,DRENCHING BIVHERIA BASIYANA 80 GM IN 15 LITER WATER,MAHARASHTRA,AURANGABAD,KANAND,2016-07-17 15:49:06.123
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,termite attack ?,APPLICATION OF THIAMATE 4 KG /ACRE,MAHARASHTRA,AURANGABAD,SILLOD,2016-07-22 11:59:57.530
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,preventive measures for sucking pest in cotton ?,spray neem ark 30 ml / 15 litter of water for controlling sucking pest in cotton,MAHARASHTRA,AURANGABAD,AURANGABAD,2016-07-30 10:38:45.943
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,first spray,first spray  = bavistin 30 gm + confidor 15 ml /15 liter water spray,MAHARASHTRA,JALNA,JAFRABAD,2015-07-02 12:56:33.277
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,ask about sucking pest attack on cotton?,spray acdmire 4 gm /15 lit,MAHARASHTRA,JALNA,AMBAD,2015-07-03 17:11:11.767
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,beetal on cotton,BEETAL ON COTTON  - NEAON 20 ML /15 LITER WATER SPRAY,MAHARASHTRA,JALNA,PARTUR,2015-07-03 19:38:19.297
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about yellowing of leaves,Spray Actra 5 gm + microlla  30 ml/15 Lit of Water.,MAHARASHTRA,JALNA,MANTHA,2015-07-05 11:00:42.920
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about bird influence for cotton crop?,Spray Azadirictine 30 ml+ Sticker 10 ml/15 Lit of Water.,MAHARASHTRA,JALNA,BHOKARDAN,2015-07-10 08:18:19.217
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,blight  on cotton ?,SPRAY M 45 30 GM /15 LITER WATER.,MAHARASHTRA,JALNA,BHOKARDAN,2015-07-12 12:25:04.723
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about thrips attack on cotton?,Spray Actra 5 gm /15 Lit of Water.,MAHARASHTRA,JALNA,BHOKARDAN,2015-07-13 11:05:30.640
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,forecast?,"weather forecast -atmosphrer is cloudy,  no  possiblity of rainfall",MAHARASHTRA,JALNA,BHOKARDAN,2015-07-13 11:57:59.753
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about thrips attack on cotton crop?,spray Arena chocolate 30gm+ Actra 5 gm+ Sticker 10 ml/ Pump.drench 19:1919 2.5 kg+ Microla 500ml/ Acre.,MAHARASHTRA,JALNA,BHOKARDAN,2015-07-15 07:48:28.757
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,weather information?,"Partly cloudy,  not  possibility with light  rain.",MAHARASHTRA,JALNA,BHOKARDAN,2015-07-15 13:38:36.680
